timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-15 14:59:58 CEST,"[2.45, 4.59]",2022-05-15 00:00:00+02:00,6280f951b5662a1f0519ca66,live,super_exhaustive,6280f24940f31452fac1adfa,1652619601401,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3512.621337890625,25,1920,1080.0,3952224735,75,yuv420p,88.54135131835938,20.154069900512695,8.317221641540527,25.751907348632812,27.55745506286621,72.44853973388672,30.926952362060547,9.325439453125,35.61366653442383,38.55860137939453,2872.224365234375,713.2926025390625,508.2247619628906,1281.03466796875,1489.2322998046875,205.21421813964844,125.15982818603516,27.96114730834961,144.04986572265625,158.47344970703125,160.16183471679688,129.40432739257812,10.524347305297852,149.58375549316406,146.21287536621094,138.0931854248047,110.0736312866211,9.461050033569336,124.16248321533203,123.532958984375,110.9692153930664,25.99986457824707,29.423234939575195,71.91790008544922,69.86312866210938,78.50261688232422,43.401241302490234,12.833534240722656,57.04216003417969,58.967559814453125,16.991355895996094,5.397483825683594,3.6009750366210938,9.815227508544922,10.38370132446289,18.469112396240234,7.632941722869873,3.021244764328003,11.495414733886719,11.932581901550293,61.9205322265625,19.953020095825195,13.145962715148926,27.32478141784668,33.10651397705078,0.0,0.0,0.0,0.0,0.0,0.9444444179534912,0.018518518656492233,0.15051525831222534,0.12962962687015533,0.17320987582206726,15,5.819469451904297,1.4040319919586182,1.0748637914657593,3.1616432666778564,3.2798995971679688,,,,,,,,,,,,,,,,stacking,95%,1.8077994064851846,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,16567,16568,"[{'over_exposure_event_id': 16567, 'consecutive_over_exposure_frames': 30, 'status': False}, {'over_exposure_event_id': 16568, 'consecutive_over_exposure_frames': 8, 'status': True}]",,,,,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,"['alert_MOS', 'warning_Blocking']"
2022-05-15 15:00:01 CEST,"[2.35, 4.49]",2022-05-15 00:00:00+02:00,6280f954d0661996d2d65bd2,live,super_exhaustive,6280f24940f31452fac1adfa,1652619604461,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5850.7919921875,25,1920,1080.0,3952494735,75,yuv420p,84.20454406738281,16.178831100463867,7.853027820587158,23.630456924438477,23.440462112426758,83.6495132446289,45.290000915527344,9.89655876159668,68.18254089355469,64.32801055908203,2695.794677734375,753.4826049804688,506.4291076660156,1580.2943115234375,1533.439697265625,158.98785400390625,140.95030212402344,5.007506370544434,148.22923278808594,150.54226684570312,160.5355682373047,146.14651489257812,5.122518539428711,147.7626190185547,150.98257446289062,121.32380676269531,108.64685821533203,3.318826675415039,118.59818267822266,117.10436248779297,103.57091522216797,83.86038970947266,5.39369535446167,87.72174072265625,90.4384994506836,84.34691619873047,44.24888229370117,16.931903839111328,81.12201690673828,69.29056549072266,16.888275146484375,11.290641784667969,1.441230297088623,14.586529731750488,13.925127029418945,18.256744384765625,13.70933723449707,1.5045562982559204,15.14735221862793,15.594799995422363,61.99915313720703,28.375049591064453,13.996946334838867,58.655189514160156,48.69047927856445,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.03208036720752716,0.02777777798473835,0.03991769626736641,0,6.647860050201416,1.675081491470337,1.076414942741394,2.9139935970306396,3.270303249359131,,,,,,,,,,,,,,,,stacking,95%,3.42,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,16568,16568,"[{'over_exposure_event_id': 16568, 'consecutive_over_exposure_frames': 54, 'status': False}]",,,,,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:04 CEST,"[2.17, 4.31]",2022-05-15 00:00:00+02:00,6280f95740f31452fac1af39,live,super_exhaustive,6280f24940f31452fac1adfa,1652619607416,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,6527.56787109375,25,1920,1080.0,3952764735,75,yuv420p,117.93612670898438,0.06201532483100891,16.035715103149414,25.82187271118164,24.218807220458984,82.3450698852539,52.378604888916016,9.012809753417969,72.13541412353516,70.19904327392578,2981.23291015625,212.41339111328125,852.037109375,2176.419189453125,1813.000244140625,164.02330017089844,149.42416381835938,3.194257974624634,158.71066284179688,157.883056640625,153.8660430908203,125.07854461669922,8.52088451385498,146.4769287109375,144.57273864746094,135.44862365722656,118.3675537109375,5.746070384979248,120.06298828125,122.97441101074219,86.44088745117188,47.338890075683594,11.602319717407227,77.69639587402344,74.22445678710938,80.86543273925781,51.10703659057617,10.956197738647461,79.89838409423828,72.68988037109375,14.789749145507812,7.620404243469238,2.5824944972991943,14.274983406066895,12.608352661132812,16.34112548828125,13.354107856750488,0.7314559817314148,13.952399253845215,14.178648948669434,76.72116088867188,27.90933609008789,15.106571197509766,56.292335510253906,52.95915985107422,0.024875622242689133,0.0,0.00806580949574709,0.0,0.0034825869370251894,0.17901234328746796,0.003086419776082039,0.03960449993610382,0.03395061567425728,0.04798353835940361,0,17.543132781982422,1.4647921323776245,5.177764415740967,2.612452507019043,4.8247528076171875,,,,,,,,,,,,,,,,stacking,95%,3.24,0.194,True,eac3,48000.0,2.0,0.25600001215934753,,,,16569,16569,"[{'over_exposure_event_id': 16569, 'consecutive_over_exposure_frames': 47, 'status': False}]",,,,64479,64479,"[{'static_image_event_id': 64479, 'consecutive_static_image_frames': 9, 'status': True}]",udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:07 CEST,"[2.98, 5.0]",2022-05-15 00:00:00+02:00,6280f95ab5662a1f0519ca6b,live,super_exhaustive,6280f24940f31452fac1adfa,1652619610260,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4022.082763671875,25,1920,1080.0,3953034735,75,yuv420p,42.834442138671875,0.030680883675813675,13.16504955291748,32.64996337890625,27.939857482910156,167.38868713378906,43.81372833251953,35.58161926269531,83.45697784423828,104.9785385131836,1586.781982421875,122.29793548583984,483.9979248046875,265.27508544921875,590.5814819335938,166.6337432861328,45.63893508911133,41.13493347167969,159.2919158935547,133.38436889648438,125.61567687988281,117.4748764038086,2.379059314727783,125.0855712890625,123.7871322631836,153.47909545898438,134.74017333984375,6.523323059082031,135.500244140625,139.76914978027344,170.49644470214844,39.31344223022461,43.19334030151367,47.67233657836914,73.12848663330078,72.51923370361328,26.232481002807617,11.213632583618164,69.0302963256836,64.24876403808594,8.306743621826172,4.494923114776611,1.1989556550979614,6.499195575714111,6.678431987762451,15.437967300415039,9.889113426208496,1.5458725690841675,13.545585632324219,13.027997016906738,76.9629898071289,23.50302505493164,12.92892074584961,71.48469543457031,66.78650665283203,0.024875622242689133,0.0,0.008219853043556213,0.0,0.003980099223554134,0.29012346267700195,0.006172839552164078,0.07768530398607254,0.06481481343507767,0.09148148447275162,4,30.93368148803711,1.2772647142410278,6.952297210693359,16.797136306762695,17.052188873291016,,,,34306,34306,"[{'under_exposure_event_id': 34306, 'consecutive_under_exposure_frames': 2, 'status': True}]",,,,,,,,,,stacking,95%,4.05,0.191,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,14501,14501,"[{'contrast_event_id': 14501, 'consecutive_contrast_frames': 3, 'status': True}]",64479,64479,"[{'static_image_event_id': 64479, 'consecutive_static_image_frames': 18, 'status': False}]",udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:10 CEST,"[1.77, 3.91]",2022-05-15 00:00:00+02:00,6280f95dd0661996d2d65bd3,live,super_exhaustive,6280f24940f31452fac1adfa,1652619613116,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3884.1201171875,25,1920,1080.0,3953304735,75,yuv420p,29.87217903137207,7.980259895324707,6.169045925140381,16.575056076049805,17.78302001953125,70.78361511230469,27.55750846862793,11.939129829406738,47.018882751464844,46.36616134643555,559.745849609375,101.04965209960938,120.07303619384766,179.33897399902344,231.39862060546875,53.71638107299805,38.31666564941406,4.398544788360596,44.34025955200195,44.666961669921875,120.46395111083984,114.63362884521484,1.521254062652588,119.08507537841797,118.42548370361328,154.72128295898438,149.7037353515625,1.4550256729125977,152.39633178710938,152.24510192871094,177.21435546875,167.73350524902344,2.730942964553833,171.30685424804688,171.71742248535156,50.330875396728516,19.819931030273438,8.933883666992188,26.925764083862305,30.357282638549805,7.766498565673828,4.918249607086182,0.8450204730033875,5.949274063110352,6.052816867828369,11.139768600463867,9.071236610412598,0.5525873899459839,9.92647647857666,10.044000625610352,39.75404357910156,14.518315315246582,7.068739891052246,23.64810562133789,25.028039932250977,0.012437811121344566,0.0,0.0014361951034516096,0.0,0.00016583748220000416,0.2993827164173126,0.0,0.06777136772871017,0.040123455226421356,0.06395061314105988,2,22.934246063232422,0.2806781232357025,4.026360511779785,1.680822491645813,2.9485816955566406,,,,34306,34307,"[{'under_exposure_event_id': 34306, 'consecutive_under_exposure_frames': 2, 'status': False}, {'under_exposure_event_id': 34307, 'consecutive_under_exposure_frames': 55, 'status': True}]",,,,,,,,,,stacking,95%,2.84,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,14501,14501,"[{'contrast_event_id': 14501, 'consecutive_contrast_frames': 56, 'status': False}]",,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:13 CEST,"[2.66, 4.8]",2022-05-15 00:00:00+02:00,6280f960d0661996d2d65bd4,live,super_exhaustive,6280f24940f31452fac1adfa,1652619616138,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3901.858642578125,25,1920,1080.0,3953574735,75,yuv420p,11.264006614685059,1.8747823238372803,2.6118903160095215,4.621430397033691,5.287823677062988,107.08646392822266,48.63571548461914,23.17371940612793,56.938697814941406,74.29875183105469,380.96197509765625,72.09777069091797,110.44363403320312,95.3731689453125,176.9415740966797,47.746185302734375,44.62942886352539,1.306115746498108,45.23622131347656,46.02267074584961,137.4043426513672,120.39189147949219,7.789707183837891,120.6252212524414,127.55369567871094,149.6874542236328,129.8966827392578,9.059591293334961,149.33766174316406,141.34429931640625,169.7429962158203,138.4662322998047,8.688932418823242,168.51612854003906,162.55148315429688,54.14374923706055,36.188602447509766,4.1367902755737305,49.767372131347656,49.92144012451172,16.623741149902344,4.836455345153809,5.462234020233154,4.904954433441162,9.581636428833008,18.045690536499023,10.452566146850586,3.1038241386413574,11.265406608581543,13.721810340881348,52.5390510559082,39.42502212524414,5.759296417236328,39.76401138305664,44.812068939208984,0.0,0.0,0.0,0.0,0.0,0.39814814925193787,0.0,0.07196469604969025,0.0555555559694767,0.0658847764134407,2,24.793323516845703,0.19464720785617828,8.442456245422363,1.2385178804397583,7.686136245727539,,,,34307,34308,"[{'under_exposure_event_id': 34307, 'consecutive_under_exposure_frames': 100, 'status': False}, {'under_exposure_event_id': 34308, 'consecutive_under_exposure_frames': 29, 'status': True}]",,,,,,,,,,stacking,95%,3.73,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,64480,64481,"[{'static_image_event_id': 64480, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 64481, 'consecutive_static_image_frames': 2, 'status': False}]",udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,['warning_UnderExposure']
2022-05-15 15:00:16 CEST,"[2.81, 4.95]",2022-05-15 00:00:00+02:00,6280f9635b738d4dc27ebce9,live,super_exhaustive,6280f24940f31452fac1adfa,1652619619464,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3835.88525390625,25,1920,1080.0,3953844735,75,yuv420p,65.93584442138672,3.6000945568084717,9.873228073120117,9.178082466125488,13.436277389526367,122.18541717529297,71.79840087890625,16.47762680053711,118.62187957763672,110.74488067626953,2163.0146484375,387.8940124511719,524.8387451171875,567.7977294921875,826.8626098632812,67.47569274902344,45.04386520385742,6.29465913772583,47.48839569091797,49.644500732421875,139.3397216796875,135.16372680664062,1.1687147617340088,136.3470916748047,136.54742431640625,131.46383666992188,127.30477905273438,0.8919897675514221,129.95077514648438,130.19094848632812,165.29837036132812,120.07704162597656,14.532347679138184,163.19287109375,157.06166076660156,58.04145812988281,47.16143035888672,3.133127450942993,55.33549880981445,54.897762298583984,17.173385620117188,13.790042877197266,0.6492840647697449,16.66777801513672,16.50217628479004,21.262296676635742,15.642696380615234,0.7870293259620667,17.890750885009766,17.912675857543945,65.38652038574219,52.20103454589844,3.499957323074341,57.54118728637695,58.16996765136719,0.0,0.0,0.0,0.0,0.0,0.3395061790943146,0.03086419776082039,0.07295141369104385,0.09876543283462524,0.1205349713563919,6,16.243310928344727,1.694851279258728,4.662464618682861,14.994813919067383,13.121989250183105,,,,34308,34308,"[{'under_exposure_event_id': 34308, 'consecutive_under_exposure_frames': 104, 'status': True}]",,,,,,,,,,stacking,95%,3.88,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:19 CEST,"[2.47, 4.61]",2022-05-15 00:00:00+02:00,6280f966b5662a1f0519ca6c,live,super_exhaustive,6280f24940f31452fac1adfa,1652619622371,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3593.679931640625,25,1920,1080.0,3954114735,75,yuv420p,65.76533508300781,2.4755940437316895,12.714938163757324,24.429073333740234,19.786123275756836,126.52777862548828,71.92497253417969,23.199792861938477,80.68456268310547,95.33161163330078,3373.8095703125,523.01513671875,645.1846923828125,1357.59033203125,1274.7835693359375,63.00519561767578,45.429359436035156,4.515521049499512,50.49100875854492,50.95904541015625,138.2428436279297,132.69313049316406,1.1985225677490234,135.2562255859375,134.956787109375,139.0311737060547,126.84883117675781,3.020159959793091,131.662353515625,133.07748413085938,153.6005859375,118.36963653564453,12.40346908569336,144.83050537109375,141.0440673828125,55.468143463134766,44.2673454284668,4.060389518737793,48.187801361083984,49.925506591796875,16.8157901763916,12.035799026489258,1.3119584321975708,16.204193115234375,15.63558292388916,22.27629280090332,12.110379219055176,3.843008518218994,18.898881912231445,17.129789352416992,72.71782684326172,60.21078109741211,3.3901891708374023,64.57179260253906,66.22196197509766,0.012437811121344566,0.0,0.006134289316833019,0.0,0.004975124727934599,0.37037035822868347,0.03086419776082039,0.07274481654167175,0.10802469402551651,0.11942386627197266,4,17.67957878112793,1.3767422437667847,6.11961555480957,7.017101764678955,9.235540390014648,,,,34308,34308,"[{'under_exposure_event_id': 34308, 'consecutive_under_exposure_frames': 179, 'status': True}]",,,,,,,,,,stacking,95%,3.54,0.115,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:22 CEST,"[2.68, 4.82]",2022-05-15 00:00:00+02:00,6280f969d0661996d2d65bd7,live,super_exhaustive,6280f24940f31452fac1adfa,1652619625274,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3786.0908203125,25,1920,1080.0,3954384735,75,yuv420p,60.451148986816406,3.5254437923431396,12.22387981414795,9.614500045776367,17.30322265625,122.56302642822266,76.39521026611328,21.095426559448242,119.91557312011719,101.46471405029297,2940.6220703125,502.266357421875,731.0957641601562,634.9880981445312,1208.320068359375,64.56554412841797,35.83061218261719,10.738829612731934,37.892677307128906,46.663536071777344,138.5435791015625,134.1569061279297,1.006301999092102,135.47727966308594,135.67965698242188,132.9830322265625,125.62944793701172,1.5996266603469849,130.67691040039062,130.20849609375,164.34915161132812,122.31977081298828,15.615900993347168,160.3705596923828,147.0869598388672,52.656436920166016,48.53334426879883,1.1552636623382568,49.61025619506836,49.952796936035156,18.40576934814453,15.238105773925781,0.571654200553894,16.068078994750977,16.28791618347168,25.92828941345215,12.878487586975098,5.52492618560791,14.397165298461914,18.497161865234375,71.82256317138672,61.72805404663086,3.1782617568969727,63.447444915771484,65.27168273925781,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.15740740299224854,0.03086419776082039,0.02719390206038952,0.06790123134851456,0.07366254925727844,0,19.650827407836914,1.8766285181045532,7.081719398498535,16.617801666259766,11.561210632324219,,,,34308,34308,"[{'under_exposure_event_id': 34308, 'consecutive_under_exposure_frames': 254, 'status': True}]",,,,,,,,,,stacking,95%,3.75,0.114,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,[]
2022-05-15 15:00:25 CEST,"[2.4, 4.54]",2022-05-15 00:00:00+02:00,6280f96cb5662a1f0519ca6d,live,super_exhaustive,6280f24940f31452fac1adfa,1652619628254,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3482.528076171875,25,1920,1080.0,3954654735,75,yuv420p,44.793739318847656,2.3207733631134033,12.491823196411133,17.21771240234375,20.337589263916016,122.08523559570312,73.43653869628906,17.278430938720703,84.9785385131836,91.8648910522461,4910.92919921875,254.5199737548828,1417.9759521484375,617.252685546875,1619.5,58.27053451538086,5.0946760177612305,15.618102073669434,39.01283264160156,37.707401275634766,136.53369140625,116.87299346923828,5.885512351989746,127.85920715332031,128.5332489013672,147.60311889648438,128.4151153564453,5.969346046447754,132.3795623779297,135.70408630371094,182.93307495117188,78.57193756103516,29.45404052734375,153.09947204589844,141.33731079101562,50.965240478515625,29.819625854492188,7.4253010749816895,44.00326156616211,42.079776763916016,17.372753143310547,6.727988243103027,3.9914236068725586,14.307721138000488,12.602274894714355,15.26329231262207,5.586058616638184,3.5697972774505615,12.974748611450195,11.28662109375,121.07553100585938,28.497377395629883,22.875104904174805,76.72240447998047,73.7211685180664,0.0,0.0,0.0,0.0,0.0,0.654321014881134,0.0,0.12551665306091309,0.1111111119389534,0.13897119462490082,10,19.511430740356445,2.63031005859375,5.190988540649414,7.191497325897217,9.409797668457031,,,,34308,34312,"[{'under_exposure_event_id': 34308, 'consecutive_under_exposure_frames': 278, 'status': False}, {'under_exposure_event_id': 34309, 'consecutive_under_exposure_frames': 8, 'status': False}, {'under_exposure_event_id': 34310, 'consecutive_under_exposure_frames': 1, 'status': False}, {'under_exposure_event_id': 34311, 'consecutive_under_exposure_frames': 3, 'status': False}, {'under_exposure_event_id': 34312, 'consecutive_under_exposure_frames': 21, 'status': True}]",4849,4852,"[{'dark_event_id': 4849, 'consecutive_dark_frames': 2, 'status': False}, {'dark_event_id': 4850, 'consecutive_dark_frames': 3, 'status': False}, {'dark_event_id': 4851, 'consecutive_dark_frames': 3, 'status': False}, {'dark_event_id': 4852, 'consecutive_dark_frames': 3, 'status': True}]",,,,,,,stacking,95%,2.4575295303306217,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,14502,14505,"[{'contrast_event_id': 14502, 'consecutive_contrast_frames': 1, 'status': False}, {'contrast_event_id': 14503, 'consecutive_contrast_frames': 3, 'status': False}, {'contrast_event_id': 14504, 'consecutive_contrast_frames': 3, 'status': False}, {'contrast_event_id': 14505, 'consecutive_contrast_frames': 3, 'status': True}]",64482,64482,"[{'static_image_event_id': 64482, 'consecutive_static_image_frames': 1, 'status': True}]",udp://224.0.1.3:5678,534,Telediario fin de semana 1,La 1 HD,RTVE,16.0,"['alert_UnderExposure', 'warning_Blocking', 'warning_MOS']"
