timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-19 13:59:58 CEST,"[3.13, 5.0]",2022-05-19 00:00:00+02:00,628631409bba0ef8f9020ba1,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961600815,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2960.94677734375,25,1920,1080.0,372475567,75,yuv420p,83.21086120605469,2.746779203414917,9.407137870788574,8.422465324401855,10.003826141357422,85.81694030761719,29.420852661132812,15.706247329711914,82.58895111083984,73.22229766845703,656.6675415039062,43.92274475097656,148.539306640625,279.9705505371094,267.4087219238281,223.29722595214844,109.51839447021484,52.898033142089844,110.66194915771484,150.700927734375,127.9948501586914,126.16285705566406,0.7517737746238708,126.44947052001953,126.90779876708984,135.56753540039062,128.03945922851562,3.452489137649536,135.3094482421875,132.75706481933594,85.38644409179688,0.30699411034584045,40.181087493896484,82.76824188232422,52.9084358215332,81.50345611572266,19.046083450317383,23.601043701171875,81.12403869628906,63.383670806884766,9.80661678314209,0.851816713809967,3.731851100921631,9.544065475463867,6.797733306884766,14.41995906829834,0.9198286533355713,5.209128379821777,14.137752532958984,10.277081489562988,71.62553405761719,4.1641998291015625,28.279644012451172,68.96640014648438,48.506595611572266,0.0,0.0,0.0,0.0,0.0,0.3580246865749359,0.0,0.05001300573348999,0.043209876865148544,0.047325100749731064,1,12.468420028686523,0.9059621691703796,4.138768196105957,11.541090965270996,8.746257781982422,,,,59957,59957,"[{'under_exposure_event_id': 59957, 'consecutive_under_exposure_frames': 60, 'status': False}]",,,,,,,,,,stacking,95%,4.2,0.071,True,eac3,48000.0,2.0,0.25600001215934753,6000,6000,"[{'saturation_event_id': 6000, 'consecutive_saturation_frames': 28, 'status': True}]",29196,29196,"[{'over_exposure_event_id': 29196, 'consecutive_over_exposure_frames': 88, 'status': True}]",27638,27638,"[{'contrast_event_id': 27638, 'consecutive_contrast_frames': 9, 'status': False}]",,,,udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
2022-05-19 14:00:00 CEST,"[2.77, 4.91]",2022-05-19 00:00:00+02:00,628631439bba0ef8f9020ba2,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961603395,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,1819.8345947265625,25,1920,1080.0,372745567,75,yuv420p,60.72935485839844,1.354721188545227,7.054037094116211,1.5362815856933594,3.6329240798950195,65.1736831665039,46.71588134765625,7.039643287658691,64.98136138916016,60.70461654663086,283.9139404296875,132.62672424316406,37.06009292602539,141.54615783691406,156.5322723388672,217.0221405029297,186.1111297607422,13.726916313171387,216.93344116210938,208.16416931152344,127.85356140136719,126.16165161132812,0.7320642471313477,127.84151458740234,127.37435913085938,132.51182556152344,128.34408569335938,1.7928022146224976,128.3494110107422,129.4953155517578,22.25412368774414,1.188252329826355,9.529865264892578,1.264912724494934,7.337066173553467,49.6735954284668,38.25984191894531,5.023906707763672,38.32527160644531,41.522544860839844,6.9616217613220215,2.1867728233337402,1.9517742395401,2.217078685760498,3.457573652267456,12.744296073913574,3.992422103881836,3.817636728286743,4.002742767333984,6.441252708435059,57.45061492919922,12.57913589477539,20.145484924316406,13.167606353759766,25.849088668823242,0.0,0.0,0.0,0.0,0.0,0.7345678806304932,0.0,0.1401054561138153,0.009259259328246117,0.07942386716604233,8,6.750794410705566,4.206925868988037,0.5446361899375916,4.886138439178467,5.0374650955200195,,,,,,,,,,,,,,,,stacking,95%,3.84,0.071,True,eac3,48000.0,2.0,0.25600001215934753,6000,6000,"[{'saturation_event_id': 6000, 'consecutive_saturation_frames': 81, 'status': False}]",29196,29196,"[{'over_exposure_event_id': 29196, 'consecutive_over_exposure_frames': 141, 'status': False}]",,,,152833,152842,"[{'static_image_event_id': 152833, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 152834, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152835, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152836, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152837, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152838, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152839, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152840, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152841, 'consecutive_static_image_frames': 4, 'status': False}, {'static_image_event_id': 152842, 'consecutive_static_image_frames': 0, 'status': True}]",udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,"['alert_OverExposure', 'warning_Saturation']"
2022-05-19 14:00:03 CEST,"[2.73, 4.87]",2022-05-19 00:00:00+02:00,628631479bba0ef8f9020ba7,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961607009,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2647.365234375,25,1920,1080.0,373015567,75,yuv420p,32.35091781616211,2.1963233947753906,11.641870498657227,24.01422119140625,19.15427017211914,130.7216339111328,51.246429443359375,30.54975700378418,98.98677062988281,90.90460205078125,2601.3935546875,121.79884338378906,966.1289672851562,1388.4798583984375,1299.4527587890625,188.18133544921875,39.9210319519043,54.868438720703125,148.62307739257812,132.52975463867188,126.26634216308594,120.12277221679688,2.417405843734741,124.73871612548828,123.8328628540039,150.82620239257812,132.1320343017578,7.340012550354004,137.12342834472656,139.5853729248047,171.7006072998047,22.19144058227539,55.05721664428711,58.94271469116211,76.86376190185547,81.56369018554688,29.332645416259766,14.89241886138916,55.1788444519043,58.832122802734375,7.351984977722168,6.7587080001831055,0.13902993500232697,7.054140090942383,7.038288593292236,14.526853561401367,11.211284637451172,0.92069411277771,13.022916793823242,13.130525588989258,82.18549346923828,21.827613830566406,15.74400806427002,60.761322021484375,62.12576675415039,0.0,0.0,0.0,0.0,0.0,0.25,0.003086419776082039,0.061881132423877716,0.07098765671253204,0.0806584358215332,0,16.79793357849121,5.427015781402588,3.3362374305725098,11.875909805297852,11.609151840209961,,,,59958,59958,"[{'under_exposure_event_id': 59958, 'consecutive_under_exposure_frames': 11, 'status': True}]",,,,,,,,,,stacking,95%,3.8,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,27639,27639,"[{'contrast_event_id': 27639, 'consecutive_contrast_frames': 5, 'status': True}]",,,,udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
2022-05-19 14:00:06 CEST,"[2.34, 4.48]",2022-05-19 00:00:00+02:00,628631499bba0ef8f9020ba8,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961609291,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2040.725341796875,25,1920,1080.0,373285567,75,yuv420p,40.57966613769531,0.04805833846330643,4.838825225830078,0.5150970816612244,2.2295727729797363,63.19804763793945,30.689064025878906,15.318217277526855,31.78621482849121,43.65328598022461,311.9049072265625,34.717002868652344,88.51505279541016,38.00377655029297,105.70880126953125,166.05984497070312,39.007625579833984,62.057525634765625,165.90594482421875,116.98546600341797,127.13944244384766,119.91236877441406,3.470214605331421,127.13217163085938,124.39725494384766,150.5932159423828,130.44346618652344,9.698920249938965,130.45114135742188,138.09848022460938,173.1094207763672,11.088430404663086,79.08090209960938,11.126506805419922,73.48471069335938,30.226526260375977,26.800996780395508,1.4549572467803955,26.857086181640625,27.97760772705078,7.0015411376953125,3.36303973197937,1.7322255373001099,3.4187140464782715,4.771796703338623,11.717753410339355,8.545666694641113,1.4567946195602417,8.60222053527832,9.738173484802246,39.76979446411133,21.516273498535156,8.638537406921387,39.552921295166016,32.85029983520508,0.0,0.0,0.0,0.0,0.0,1.2592592239379883,0.0,0.3505913317203522,0.5,0.4010699391365051,46,19.573741912841797,0.8510638475418091,7.365667343139648,5.5,8.208361625671387,,,,59958,59958,"[{'under_exposure_event_id': 59958, 'consecutive_under_exposure_frames': 40, 'status': False}]",,,,,,,,,,stacking,95%,1.7594563134022512,0.071,True,eac3,48000.0,2.0,0.25600001215934753,6001,6001,"[{'saturation_event_id': 6001, 'consecutive_saturation_frames': 46, 'status': True}]",,,,27639,27639,"[{'contrast_event_id': 27639, 'consecutive_contrast_frames': 80, 'status': True}]",152842,152842,"[{'static_image_event_id': 152842, 'consecutive_static_image_frames': 44, 'status': True}]",udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,"['alert_Blocking', 'alert_MOS']"
2022-05-19 14:00:09 CEST,"[2.49, 4.63]",2022-05-19 00:00:00+02:00,6286314d9bba0ef8f9020bad,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961613267,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3172.250732421875,25,1920,1080.0,373555567,75,yuv420p,22.428794860839844,0.5415328741073608,8.795116424560547,2.645298480987549,9.144318580627441,63.27714157104492,31.450496673583984,10.975467681884766,33.28385925292969,39.580509185791016,468.05230712890625,33.34620666503906,145.03851318359375,43.791297912597656,142.48583984375,166.19036865234375,89.7628402709961,22.692232131958008,165.53587341308594,149.1862030029297,127.13796997070312,122.59349060058594,1.0444411039352417,126.95430755615234,126.379638671875,145.21290588378906,130.44993591308594,3.933184862136841,130.79885864257812,133.5432891845703,94.3171157836914,11.116912841796875,21.979116439819336,12.208577156066895,26.63372039794922,50.10612869262695,26.84139060974121,8.691327095031738,27.033153533935547,33.806129455566406,6.492730140686035,3.416179656982422,0.6414928436279297,3.9517745971679688,4.155993461608887,11.20926570892334,8.591885566711426,0.6827975511550903,9.362613677978516,9.649962425231934,60.82353591918945,39.75231170654297,6.237201690673828,40.88752746582031,44.54943084716797,0.012437811121344566,0.0,0.002017316175624728,0.0,0.0003316749644000083,0.7129629850387573,0.046296294778585434,0.11531902104616165,0.20370370149612427,0.22004114091396332,23,6.703808784484863,0.3305785059928894,1.9024101495742798,4.3337602615356445,3.5763309001922607,,,,,,,,,,,,,,,,stacking,95%,2.3677974711640664,0.114,True,eac3,48000.0,2.0,0.25600001215934753,6001,6001,"[{'saturation_event_id': 6001, 'consecutive_saturation_frames': 88, 'status': False}]",,,,27639,27639,"[{'contrast_event_id': 27639, 'consecutive_contrast_frames': 124, 'status': False}]",152842,152844,"[{'static_image_event_id': 152842, 'consecutive_static_image_frames': 52, 'status': False}, {'static_image_event_id': 152843, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 152844, 'consecutive_static_image_frames': 22, 'status': False}]",udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,"['warning_Saturation', 'warning_Contrast', 'warning_Blocking', 'warning_MOS']"
2022-05-19 14:00:13 CEST,"[1.85, 3.99]",2022-05-19 00:00:00+02:00,628631509bba0ef8f9020bb6,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961616153,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3806.77880859375,25,1920,1080.0,373825567,75,yuv420p,35.434505462646484,13.846063613891602,6.723839282989502,20.863914489746094,21.942588806152344,76.3677749633789,45.83930587768555,8.388972282409668,62.130638122558594,60.95304870605469,408.1719970703125,196.79095458984375,53.735530853271484,281.40618896484375,285.70208740234375,86.45096588134766,42.95474624633789,8.308921813964844,49.89894485473633,52.8504638671875,121.77410125732422,116.37529754638672,1.0811927318572998,116.82553100585938,117.21692657470703,158.9884796142578,146.05325317382812,3.0276567935943604,158.49208068847656,157.05992126464844,177.08602905273438,99.92447662353516,16.94228744506836,171.9398193359375,166.2363739013672,44.38327407836914,18.041261672973633,5.929814338684082,25.576066970825195,25.84559440612793,8.07328987121582,4.5645365715026855,1.0912710428237915,5.39228630065918,5.663558483123779,12.732290267944336,8.705482482910156,1.359100103378296,9.481847763061523,9.967392921447754,60.289302825927734,12.01087760925293,12.03247356414795,18.504480361938477,23.04141616821289,0.0,0.0,0.0,0.0,0.0,0.9691358208656311,0.03395061567425728,0.17093802988529205,0.10493826866149902,0.16790123283863068,12,19.758800506591797,0.22409465909004211,5.947356700897217,4.058557510375977,7.088689804077148,,,,59959,59959,"[{'under_exposure_event_id': 59959, 'consecutive_under_exposure_frames': 3, 'status': False}]",,,,,,,,,,stacking,95%,1.867467204587948,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,27640,27641,"[{'contrast_event_id': 27640, 'consecutive_contrast_frames': 10, 'status': False}, {'contrast_event_id': 27641, 'consecutive_contrast_frames': 54, 'status': False}]",,,,udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,['alert_MOS']
2022-05-19 14:00:16 CEST,"[2.14, 4.28]",2022-05-19 00:00:00+02:00,628631539bba0ef8f9020bb9,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961619259,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3326.170654296875,25,1920,1080.0,374095567,75,yuv420p,34.220088958740234,2.629575490951538,11.97902774810791,19.683612823486328,18.201732635498047,83.95790100097656,44.86171340942383,8.473357200622559,72.95793914794922,71.32450866699219,604.4232177734375,159.02804565429688,110.7532730102539,195.07638549804688,252.1454620361328,114.8951416015625,49.56877517700195,14.6350679397583,51.29179763793945,56.2509880065918,127.98236083984375,116.7004165649414,2.5258519649505615,117.36137390136719,118.15715026855469,158.1526641845703,133.13677978515625,5.379134178161621,156.1262969970703,154.53466796875,176.91029357910156,49.53911209106445,31.859933853149414,172.52694702148438,161.27810668945312,60.56999588012695,32.791351318359375,4.627391338348389,38.3267936706543,38.3828010559082,6.7657551765441895,4.666507244110107,0.4030865728855133,6.1777801513671875,6.116663455963135,13.390928268432617,9.271149635314941,1.036093831062317,13.085187911987305,12.739517211914062,44.935420989990234,29.188261032104492,3.626396894454956,32.97966766357422,33.552005767822266,0.012437811121344566,0.0,0.003397015854716301,0.0,0.0009950248058885336,0.3641975224018097,0.0,0.06716477125883102,0.043209876865148544,0.05753086879849434,2,29.932720184326172,0.7454859018325806,5.84429407119751,18.70235824584961,17.91956901550293,,,,,,,,,,,,,,,,stacking,95%,3.21,0.12,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
2022-05-19 14:00:19 CEST,"[2.59, 4.73]",2022-05-19 00:00:00+02:00,628631569bba0ef8f9020bba,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961621949,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3051.887939453125,25,1920,1080.0,374365567,75,yuv420p,66.11018371582031,5.586724758148193,7.180624485015869,10.755382537841797,12.27348518371582,76.05973052978516,57.39720153808594,6.550922870635986,60.43297576904297,64.77874755859375,1026.6837158203125,161.9232177734375,190.32875061035156,355.3005676269531,403.44085693359375,120.26637268066406,103.65802764892578,5.703927040100098,115.94911193847656,113.90289306640625,129.016845703125,127.94493865966797,0.3495807647705078,128.32806396484375,128.46656799316406,132.8906707763672,131.43492126464844,0.4282759428024292,132.4281005859375,132.3131561279297,48.86050033569336,40.247047424316406,2.620053768157959,47.263065338134766,45.96706771850586,61.433467864990234,52.26170349121094,3.2512309551239014,59.5533447265625,58.093345642089844,10.432819366455078,6.352104187011719,1.6460944414138794,7.63546085357666,8.205230712890625,11.152366638183594,8.726214408874512,0.8103586435317993,9.743551254272461,9.76369571685791,48.49827194213867,41.930110931396484,2.409738302230835,43.20573043823242,44.40162658691406,0.012437811121344566,0.0,0.004590483848005533,0.0,0.001990049611777067,0.24074074625968933,0.021604938432574272,0.06018972769379616,0.05246913433074951,0.08181069791316986,0,9.440757751464844,0.3915162682533264,3.224649429321289,6.616960048675537,4.805347919464111,,,,,,,,,,,,,,,,stacking,95%,3.66,0.122,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
2022-05-19 14:00:21 CEST,"[2.55, 4.69]",2022-05-19 00:00:00+02:00,628631599bba0ef8f9020bbb,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961625102,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3538.565185546875,25,1920,1080.0,374635567,75,yuv420p,73.77799987792969,1.5588997602462769,9.0638427734375,1.8028531074523926,6.121323108673096,61.103031158447266,57.2087287902832,1.111223578453064,60.42502212524414,59.85836410522461,514.91650390625,169.6204376220703,103.90605163574219,177.65538024902344,249.48028564453125,126.26224517822266,113.2475357055664,5.198997497558594,114.0513916015625,117.75873565673828,146.96966552734375,127.63243103027344,9.16183853149414,146.6151123046875,139.5146026611328,133.2051239013672,117.8778076171875,7.203974723815918,117.9917221069336,123.63591003417969,86.47677612304688,34.947120666503906,23.80058479309082,85.6711654663086,67.12615966796875,52.07670593261719,49.61506652832031,0.6260334253311157,50.72627639770508,50.704689025878906,14.686906814575195,8.487881660461426,2.6863555908203125,14.632120132446289,12.558760643005371,9.30140495300293,8.549112319946289,0.2692263126373291,9.136723518371582,9.020668983459473,46.7302131652832,40.043392181396484,2.179919958114624,46.13679122924805,44.89080047607422,0.012437811121344566,0.0,0.0014361951034516096,0.0,0.00016583748220000416,0.10802469402551651,0.0,0.028413012623786926,0.015432098880410194,0.02975308708846569,0,1.5107277631759644,0.19966433942317963,0.33458954095840454,0.783606231212616,0.7539278864860535,,,,,,,,,,,,,,,,stacking,95%,3.62,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,152845,152846,"[{'static_image_event_id': 152845, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 152846, 'consecutive_static_image_frames': 1, 'status': True}]",udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
2022-05-19 14:00:25 CEST,"[2.45, 4.59]",2022-05-19 00:00:00+02:00,6286315c9bba0ef8f9020bbc,live,super_exhaustive,628631409bba0ef8f9020ba0,1652961627931,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2929.7919921875,25,1920,1080.0,374905567,75,yuv420p,65.45667266845703,1.402267575263977,7.419698715209961,2.5294039249420166,3.996363878250122,62.29514694213867,60.46857452392578,0.5828436017036438,61.5709342956543,61.493377685546875,328.6865234375,157.1721649169922,31.999958038330078,173.08326721191406,179.66946411132812,113.5411376953125,97.6865463256836,6.813780307769775,99.1571044921875,103.18214416503906,147.12306213378906,133.0910186767578,6.360814094543457,133.4304962158203,137.5253143310547,130.12109375,117.92295837402344,5.531771183013916,129.82049560546875,126.24172973632812,86.48339080810547,63.211814880371094,10.46923542022705,63.805633544921875,70.56009674072266,58.01532745361328,49.605125427246094,3.617060661315918,57.45183181762695,55.27926254272461,14.653194427490234,9.500036239624023,2.3180418014526367,9.68758773803711,11.179940223693848,9.486849784851074,9.080099105834961,0.14329585433006287,9.234885215759277,9.252654075622559,46.99211502075195,45.855342864990234,0.32330527901649475,46.505287170410156,46.409236907958984,0.0,0.0,0.0,0.0,0.0,0.15432098507881165,0.003086419776082039,0.04480794444680214,0.06172839552164078,0.060905348509550095,0,1.970965027809143,0.29953306913375854,0.5732606649398804,0.5327991247177124,0.8683005571365356,,,,,,,,,,,,,,,,stacking,95%,3.52,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,152846,152848,"[{'static_image_event_id': 152846, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 152847, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 152848, 'consecutive_static_image_frames': 1, 'status': True}]",udp://224.0.1.3:5678,534,Informativo territorial,La 1 HD,RTVE,16.0,[]
