inserted_at,program_id,journey_datetime,content_type,session_id,id,mode,confidence_intervals,lost_frames,timestamp,beginning_saturation_event_id,final_saturation_event_id,saturation_events,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_static_image_event_id,final_static_image_event_id,static_image_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,strategy,percentage,mos,loss_prob,analysed,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_dark_event_id,final_dark_event_id,dark_events,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
1651857601748,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558c1863e4f12f11cb853,super_exhaustive,"[2.63, 4.77]",0,2022-05-06 19:19:58 CEST,,,,h264,interlaced,3.0,4387.61865234375,25,1920,1080.0,4091730135,75,yuv420p,76.82704162597656,3.182098627090454,8.328547477722168,7.661277770996094,8.82840633392334,78.70719909667969,51.424163818359375,4.138265609741211,52.33610534667969,53.06005859375,383.206298828125,125.84273529052734,69.59400177001953,200.35464477539062,224.35833740234375,107.89787292480469,59.49553680419922,9.051459312438965,62.84795379638672,64.22061157226562,113.50944519042969,108.82550811767578,1.4006322622299194,111.47705078125,111.38217163085938,192.27769470214844,173.16053771972656,3.732860803604126,188.5726318359375,187.87030029296875,195.37355041503906,160.92530822753906,6.780845642089844,189.28172302246094,187.95130920410156,76.97573852539062,33.10634231567383,8.405938148498535,34.33819580078125,36.14332962036133,28.23973846435547,19.341707229614258,1.6610119342803955,19.894939422607422,20.184741973876953,42.24139404296875,34.63257598876953,1.4065600633621216,40.58420944213867,40.54110336303711,93.47272491455078,81.98085021972656,2.5035650730133057,86.15162658691406,86.6836166381836,0.0,0.0,0.0,0.0,0.0,0.1419753134250641,0.006172839552164078,0.03196663036942482,0.06481481343507767,0.06432098895311356,0,7.7586565017700195,4.5867838859558105,0.8236855864524841,6.426042556762695,6.260241985321045,,,,,,,,,,,,,449,449,"[{'over_exposure_event_id': 449, 'consecutive_over_exposure_frames': 3, 'status': True}]",stacking,95%,3.7,0.071,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857604633,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558c4863e4f12f11cb854,super_exhaustive,"[2.55, 4.69]",0,2022-05-06 19:20:01 CEST,97,97,"[{'saturation_event_id': 97, 'consecutive_saturation_frames': 10, 'status': False}]",h264,interlaced,3.0,3098.546630859375,25,1920,1080.0,4092000135,75,yuv420p,77.23209381103516,4.217428684234619,8.334395408630371,5.396397590637207,6.534984111785889,78.55032348632812,48.650272369384766,14.039490699768066,76.78726196289062,65.0208740234375,288.7059326171875,129.49986267089844,47.915557861328125,232.5107879638672,212.36102294921875,107.85427856445312,41.506690979003906,32.607234954833984,107.07662963867188,77.98225402832031,116.44078063964844,104.10252380371094,2.5430307388305664,109.71823120117188,110.01766967773438,209.55572509765625,173.31341552734375,13.541418075561523,174.08493041992188,184.9881134033203,241.19400024414062,160.6448516845703,34.92558670043945,161.26565551757812,192.3594207763672,76.88273620605469,25.77446174621582,22.564071655273438,76.425537109375,56.32578659057617,28.10478973388672,12.344404220581055,6.635178565979004,27.487892150878906,21.81409454345703,35.32383728027344,24.503469467163086,3.763982057571411,34.698890686035156,31.713396072387695,93.29328155517578,38.93022918701172,20.74650001525879,92.52873992919922,74.64091491699219,0.024875622242689133,0.0,0.00514587527140975,0.0,0.001658374909311533,0.06481481343507767,0.0,0.011399030685424805,0.009259259328246117,0.011769547127187252,0,19.370203018188477,6.681742191314697,3.457742929458618,7.626439094543457,10.000962257385254,,,,2323,2323,"[{'under_exposure_event_id': 2323, 'consecutive_under_exposure_frames': 9, 'status': True}]",,,,,,,449,449,"[{'over_exposure_event_id': 449, 'consecutive_over_exposure_frames': 44, 'status': False}]",stacking,95%,3.62,0.18,True,,,,537,537,"[{'contrast_event_id': 537, 'consecutive_contrast_frames': 19, 'status': False}]",,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857607603,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558c7f9dd1e558853fcac,super_exhaustive,"[2.63, 4.77]",0,2022-05-06 19:20:04 CEST,,,,h264,interlaced,3.0,3287.39990234375,25,1920,1080.0,4092270135,75,yuv420p,88.85838317871094,2.070544958114624,9.78260612487793,5.977049350738525,6.640781402587891,52.00452423095703,50.103275299072266,0.502187967300415,50.78483581542969,50.84809112548828,227.1913299560547,98.46514129638672,32.869632720947266,153.68861389160156,151.61123657226562,59.06869888305664,42.73517990112305,4.700733661651611,48.853214263916016,49.15894317626953,124.65290069580078,114.74353790283203,1.9023213386535645,116.73606872558594,117.05351257324219,184.05584716796875,163.95933532714844,4.10704231262207,181.35458374023438,179.3558807373047,218.52294921875,200.66598510742188,3.691767454147339,210.1785430908203,209.71676635742188,75.45647430419922,39.22626495361328,4.0641703605651855,41.70766067504883,42.303409576416016,22.36039161682129,16.740501403808594,1.8018206357955933,19.434326171875,19.39219093322754,37.30384826660156,26.390230178833008,3.063828229904175,31.408021926879883,30.579261779785156,81.92061614990234,64.933837890625,2.3991901874542236,69.45958709716797,69.6195068359375,0.0,0.0,0.0,0.0,0.0,0.20679011940956116,0.0,0.02400488778948784,0.015432098880410194,0.019506173208355904,0,18.40481948852539,7.647598743438721,1.8446846008300781,13.232561111450195,13.533599853515625,,,,2323,2324,"[{'under_exposure_event_id': 2323, 'consecutive_under_exposure_frames': 82, 'status': False}, {'under_exposure_event_id': 2324, 'consecutive_under_exposure_frames': 1, 'status': True}]",,,,,,,,,,stacking,95%,3.7,0.071,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,['warning_UnderExposure']
1651857610591,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558caf9dd1e558853fcaf,super_exhaustive,"[2.71, 4.85]",0,2022-05-06 19:20:07 CEST,,,,h264,interlaced,3.0,3873.06396484375,25,1920,1080.0,4092540135,75,yuv420p,5.8901543617248535,3.5875024795532227,0.4882853329181671,4.309895992279053,4.368719577789307,63.15673828125,60.06010818481445,0.701376736164093,61.57759094238281,61.555599212646484,173.64031982421875,134.81739807128906,7.830158710479736,148.22503662109375,149.73373413085938,59.098690032958984,55.42398452758789,0.9364352822303772,57.23480987548828,57.31916046142578,124.6363296508789,121.98094940185547,0.5699763298034668,122.94284057617188,122.92749786376953,167.68443298339844,164.3678436279297,0.7117292881011963,166.5967254638672,166.5528564453125,210.1092071533203,206.49176025390625,0.9257107377052307,208.3043975830078,208.30392456054688,75.53604888916016,73.28358459472656,0.5994822978973389,74.28086853027344,74.40532684326172,22.314470291137695,19.303363800048828,0.7056127786636353,21.17626190185547,21.14217185974121,28.843751907348633,27.15629005432129,0.38829001784324646,28.17983055114746,28.176591873168945,81.91157531738281,79.52360534667969,0.5434298515319824,80.30461883544922,80.38882446289062,0.0,0.0,0.0,0.0,0.0,0.29012346267700195,0.10493826866149902,0.03927597776055336,0.17592592537403107,0.1809876561164856,3,8.555484771728516,5.588034152984619,0.6639313101768494,7.287014484405518,7.11618185043335,,,,2324,2324,"[{'under_exposure_event_id': 2324, 'consecutive_under_exposure_frames': 76, 'status': True}]",,,,,,,,,,stacking,95%,3.78,0.071,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857613548,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558cd0a4955cccb084190,super_exhaustive,"[2.57, 4.71]",0,2022-05-06 19:20:10 CEST,,,,h264,interlaced,3.0,3757.565185546875,25,1920,1080.0,4092810135,75,yuv420p,62.11899185180664,1.521662712097168,6.882000923156738,4.8815741539001465,5.698062419891357,63.67265701293945,55.29922866821289,3.1999170780181885,62.244171142578125,60.658782958984375,243.538818359375,116.83229064941406,28.866512298583984,163.77239990234375,164.22409057617188,88.65206909179688,57.44184494018555,12.978433609008789,60.83869934082031,68.42865753173828,123.2780532836914,100.98909759521484,9.725887298583984,122.17697143554688,116.35205841064453,198.57228088378906,165.68594360351562,14.703361511230469,166.5489959716797,175.77915954589844,208.42857360839844,199.21737670898438,3.0290446281433105,205.1073455810547,203.9334716796875,77.48826599121094,53.777095794677734,10.095538139343262,75.3055191040039,69.5517807006836,28.44674301147461,20.459842681884766,3.1529903411865234,22.140893936157227,23.550617218017578,39.039363861083984,27.803239822387695,4.911505222320557,28.448684692382812,31.391666412353516,82.65586853027344,79.79430389404297,0.9288947582244873,81.26353454589844,81.17167663574219,0.0,0.0,0.0,0.0,0.0,0.2716049253940582,0.015432098880410194,0.07438335567712784,0.1666666716337204,0.14526748657226562,2,7.439817905426025,3.269963264465332,1.3888230323791504,6.189947128295898,5.616103649139404,2210,2211,"[{'static_image_event_id': 2210, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 2211, 'consecutive_static_image_frames': 0, 'status': True}]",2324,2324,"[{'under_exposure_event_id': 2324, 'consecutive_under_exposure_frames': 129, 'status': False}]",,,,,,,,,,stacking,95%,3.64,0.071,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,['alert_UnderExposure']
1651857616689,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558d0863e4f12f11cb855,super_exhaustive,"[2.42, 4.56]",0,2022-05-06 19:20:13 CEST,,,,h264,interlaced,3.0,3824.850830078125,25,1920,1080.0,4093080135,75,yuv420p,73.61201477050781,1.7708102464675903,12.618025779724121,5.171482563018799,8.220656394958496,78.2796859741211,55.724002838134766,7.387892246246338,62.41990661621094,65.42866516113281,46677.8984375,129.58523559570312,5366.55029296875,162.25015258789062,827.2135620117188,106.51731872558594,57.68144226074219,21.60776138305664,59.16220474243164,76.44023132324219,125.85069274902344,101.80036163330078,8.140472412109375,123.58080291748047,117.84878540039062,198.93898010253906,163.4699249267578,10.944210052490234,165.05133056640625,171.1564483642578,206.43612670898438,157.74708557128906,21.40849494934082,204.35662841796875,190.47528076171875,79.1015396118164,54.42348098754883,7.270787239074707,75.66770935058594,73.80237579345703,28.073198318481445,19.420082092285156,3.2933967113494873,20.561935424804688,22.865964889526367,39.136436462402344,26.87069320678711,4.591174602508545,27.62250518798828,31.109277725219727,94.13933563232422,79.74114227294922,5.490059852600098,81.84442901611328,85.03268432617188,0.012437811121344566,0.0,0.0024537164717912674,0.0,0.0004975124029442668,0.3055555522441864,0.0,0.08930511772632599,0.15740740299224854,0.13728395104408264,4,7.695215702056885,3.46834397315979,1.1063032150268555,6.608182907104492,6.311488151550293,,,,2325,2325,"[{'under_exposure_event_id': 2325, 'consecutive_under_exposure_frames': 44, 'status': False}]",,,,,,,450,450,"[{'over_exposure_event_id': 450, 'consecutive_over_exposure_frames': 22, 'status': True}]",stacking,95%,3.49,0.116,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857619601,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558d3863e4f12f11cb856,super_exhaustive,"[2.61, 4.75]",0,2022-05-06 19:20:16 CEST,,,,h264,interlaced,3.0,4280.72021484375,25,1920,1080.0,4093350135,75,yuv420p,102.7309341430664,4.630760192871094,11.169025421142578,6.307038307189941,7.982157230377197,79.55337524414062,61.00022888183594,7.112577438354492,63.375091552734375,67.73545837402344,498.52423095703125,148.48562622070312,107.82994079589844,177.95913696289062,241.72096252441406,106.21197509765625,57.126014709472656,21.04512596130371,61.2054443359375,74.45006561279297,124.8660659790039,110.07662200927734,6.20753288269043,123.62550354003906,119.92980194091797,174.48899841308594,161.21485900878906,5.510101795196533,162.6561279296875,165.88153076171875,206.5626678466797,158.45016479492188,20.46760368347168,202.58969116210938,190.1676788330078,79.26141357421875,75.76716613769531,1.0520093441009521,77.09663391113281,77.33526611328125,27.410215377807617,19.27830696105957,2.9506120681762695,21.524526596069336,22.744979858398438,36.1611213684082,25.724563598632812,4.399880886077881,26.47536277770996,29.311071395874023,93.3206787109375,81.20539855957031,4.621144771575928,84.00711059570312,85.98126220703125,0.012437811121344566,0.0,0.002453717403113842,0.0,0.0004975124029442668,0.29629629850387573,0.0,0.0801876038312912,0.1419753134250641,0.12604938447475433,3,7.4221601486206055,5.067808628082275,0.5207114219665527,6.0859174728393555,6.089752197265625,,,,2326,2326,"[{'under_exposure_event_id': 2326, 'consecutive_under_exposure_frames': 52, 'status': True}]",,,,,,,450,450,"[{'over_exposure_event_id': 450, 'consecutive_over_exposure_frames': 45, 'status': False}]",stacking,95%,3.68,0.116,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857622596,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558d6d028f22c6bbdea33,super_exhaustive,"[2.32, 4.46]",0,2022-05-06 19:20:19 CEST,98,98,"[{'saturation_event_id': 98, 'consecutive_saturation_frames': 5, 'status': False}]",h264,interlaced,3.0,3807.293212890625,25,1920,1080.0,4093620135,75,yuv420p,58.428924560546875,5.0282793045043945,9.75187873840332,7.098886966705322,9.223684310913086,63.38486099243164,47.02494430541992,3.7449917793273926,54.567623138427734,55.121482849121094,25283.34375,138.0128631591797,3159.503662109375,169.53817749023438,663.321044921875,73.596435546875,48.898250579833984,4.71898078918457,57.498111724853516,58.445716857910156,124.49960327148438,95.04297637939453,8.274009704589844,102.92479705810547,105.29734802246094,204.17465209960938,161.58782958984375,14.553520202636719,196.679931640625,187.2784423828125,237.75279235839844,204.67283630371094,8.19294261932373,226.8576202392578,224.67364501953125,76.0228500366211,37.16195297241211,12.754837989807129,41.69686508178711,50.9028434753418,36.83501434326172,19.537931442260742,5.598228454589844,23.90237045288086,26.753955841064453,42.35722351074219,25.56633949279785,5.418450355529785,39.62684631347656,36.43824005126953,81.3379898071289,41.914390563964844,11.051958084106445,50.87172317504883,55.36634826660156,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.26234567165374756,0.006172839552164078,0.07189461588859558,0.09876543283462524,0.09979423880577087,2,12.576773643493652,6.278118133544922,2.0394744873046875,10.217798233032227,9.70378303527832,,,,2326,2327,"[{'under_exposure_event_id': 2326, 'consecutive_under_exposure_frames': 63, 'status': False}, {'under_exposure_event_id': 2327, 'consecutive_under_exposure_frames': 26, 'status': True}]",,,,,,,,,,stacking,95%,3.39,0.114,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857625583,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558d90a4955cccb084193,super_exhaustive,"[2.57, 4.71]",0,2022-05-06 19:20:22 CEST,,,,h264,interlaced,3.0,3894.56005859375,25,1920,1080.0,4093890135,75,yuv420p,89.6995620727539,3.257641077041626,9.761090278625488,6.090949058532715,7.025745391845703,62.95854949951172,45.60707092285156,6.065158843994141,50.027259826660156,52.354522705078125,178.36488342285156,104.14576721191406,21.632543563842773,133.09901428222656,139.62986755371094,90.54940795898438,59.04853820800781,11.473404884338379,81.6872329711914,78.3741226196289,124.05178833007812,88.84619140625,13.94980525970459,93.19525146484375,100.27903747558594,189.28013610839844,162.5876922607422,10.630047798156738,186.5314178466797,180.5773162841797,220.17001342773438,204.68519592285156,4.132021427154541,211.76895141601562,211.14256286621094,76.99285888671875,58.95850372314453,7.3040452003479,60.1085319519043,64.17205810546875,38.89472198486328,21.336336135864258,6.837075233459473,36.99250411987305,33.196533203125,32.55414962768555,25.80147933959961,2.7302918434143066,32.223846435546875,30.599756240844727,81.70238494873047,61.304412841796875,6.570941925048828,69.26502227783203,71.00653076171875,0.012437811121344566,0.0,0.0024537162389606237,0.0,0.0004975124029442668,0.26543208956718445,0.012345679104328156,0.06505963206291199,0.04938271641731262,0.07711934298276901,1,12.791269302368164,5.179872512817383,2.4496307373046875,8.165888786315918,8.632612228393555,,,,2327,2328,"[{'under_exposure_event_id': 2327, 'consecutive_under_exposure_frames': 42, 'status': False}, {'under_exposure_event_id': 2328, 'consecutive_under_exposure_frames': 19, 'status': True}]",,,,,,,,,,stacking,95%,3.64,0.116,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
1651857628642,627558c1863e4f12f11cb852,2022-05-06 00:00:00+02:00,live,6275192fd5f2191380c9e9a7,627558dcf9dd1e558853fcb0,super_exhaustive,"[2.7, 4.84]",0,2022-05-06 19:20:25 CEST,,,,h264,interlaced,3.0,4224.8798828125,25,1920,1080.0,4094160135,75,yuv420p,6.5089287757873535,5.121289253234863,0.30982640385627747,5.90471076965332,5.900857925415039,63.89476776123047,61.02044677734375,0.7858536243438721,62.66838073730469,62.62633514404297,176.72447204589844,158.6498260498047,3.7188451290130615,166.83065795898438,166.70550537109375,60.19292449951172,53.68197250366211,1.6140447854995728,56.26942443847656,56.24252700805664,124.68091583251953,122.98040008544922,0.4595702290534973,124.03782653808594,123.96022033691406,165.78457641601562,162.39955139160156,1.0268089771270752,163.16921997070312,163.5507354736328,209.8213653564453,206.0185546875,1.0390336513519287,208.2611541748047,208.08993530273438,76.47486877441406,73.27787780761719,0.8984112739562988,74.78095245361328,74.81136322021484,22.02340316772461,18.947477340698242,0.778439998626709,20.045127868652344,20.161090850830078,26.982223510742188,25.49109649658203,0.38595646619796753,26.11241340637207,26.182832717895508,81.52578735351562,79.35733795166016,0.5271162986755371,80.20471954345703,80.24320983886719,0.0,0.0,0.0,0.0,0.0,0.29320988059043884,0.06172839552164078,0.04179820418357849,0.16049382090568542,0.16065844893455505,2,7.191900253295898,5.172922611236572,0.39248189330101013,6.324309825897217,6.320829391479492,,,,2328,2328,"[{'under_exposure_event_id': 2328, 'consecutive_under_exposure_frames': 94, 'status': True}]",,,,,,,,,,stacking,95%,3.77,0.071,True,,,,,,,,,,eac3,48000.0,2.0,0.25600001215934753,udp://224.0.1.3:5678,534,España directo,La 1 HD,RTVE,16.0,[]
