timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-12 17:19:59 CEST,"[2.62, 4.76]",2022-05-12 00:00:00+02:00,627d25a22b3a97b77b5d68be,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368802061,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3292.407958984375,25,1920,1080.0,7150118511,75,yuv420p,57.64615249633789,1.7849950790405273,6.646223068237305,3.625068426132202,5.252669334411621,41.66292953491211,33.72259521484375,2.9046757221221924,40.20432662963867,38.580657958984375,61.262657165527344,39.30385971069336,5.970055103302002,57.64255142211914,55.175201416015625,76.96514892578125,48.753204345703125,12.167289733886719,57.736907958984375,63.24761199951172,137.52606201171875,133.6246337890625,1.6519373655319214,134.99191284179688,135.68060302734375,125.02316284179688,123.52372741699219,0.5705627202987671,124.34149169921875,124.2525634765625,77.8008804321289,54.89072799682617,8.906005859375,66.88882446289062,68.0503158569336,44.643856048583984,41.49760055541992,0.5460270047187805,42.447364807128906,42.651248931884766,6.578189373016357,6.002405166625977,0.21053244173526764,6.386462211608887,6.333176136016846,7.286695957183838,5.071354866027832,1.069301962852478,5.206766128540039,6.081760883331299,42.169307708740234,29.445999145507812,4.406870365142822,35.026851654052734,36.932167053222656,0.0,0.0,0.0,0.0,0.0,0.5370370149612427,0.0,0.14471374452114105,0.03395061567425728,0.13991768658161163,29,21.195409774780273,7.41160774230957,5.186910629272461,13.783068656921387,13.732558250427246,,,,5250,5250,"[{'under_exposure_event_id': 5250, 'consecutive_under_exposure_frames': 59, 'status': False}]",,,,,,,,,,stacking,95%,3.69,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,21868,21869,"[{'static_image_event_id': 21868, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 21869, 'consecutive_static_image_frames': 2, 'status': False}]",udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:01 CEST,"[2.38, 4.52]",2022-05-12 00:00:00+02:00,627d25a52b3a97b77b5d68bf,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368805319,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3240.9013671875,25,1920,1080.0,7150388511,75,yuv420p,6.817426681518555,1.3327183723449707,1.401465892791748,3.3306350708007812,3.4475033283233643,36.89634323120117,35.42331314086914,0.3529224693775177,36.342872619628906,36.27068328857422,57.86348342895508,45.27535629272461,2.4961841106414795,52.77994918823242,52.47125244140625,76.8965072631836,75.66758728027344,0.29555848240852356,76.17166900634766,76.23033142089844,137.6117706298828,137.32994079589844,0.06246991828083992,137.48849487304688,137.4875946044922,123.77529907226562,123.382080078125,0.09077131003141403,123.59720611572266,123.59026336669922,77.75801849365234,76.90953826904297,0.19617542624473572,77.43348693847656,77.42143249511719,42.63566207885742,41.970298767089844,0.19698692858219147,42.39396286010742,42.335086822509766,6.6326165199279785,6.577575206756592,0.0146382050588727,6.599005222320557,6.600806713104248,7.278812408447266,7.214937686920166,0.012328180484473705,7.240382671356201,7.241905212402344,41.95744705200195,41.257720947265625,0.14965108036994934,41.53681182861328,41.54366683959961,0.0,0.0,0.0,0.0,0.0,0.4444444477558136,0.12654320895671844,0.07323046028614044,0.23765432834625244,0.25020575523376465,36,8.997231483459473,7.203553676605225,0.3732200860977173,7.987822532653809,7.966064453125,,,,,,,,,,,,,,,,stacking,95%,3.45,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,21870,21874,"[{'static_image_event_id': 21870, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 21871, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 21872, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 21873, 'consecutive_static_image_frames': 4, 'status': False}, {'static_image_event_id': 21874, 'consecutive_static_image_frames': 0, 'status': True}]",udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:05 CEST,"[2.26, 4.4]",2022-05-12 00:00:00+02:00,627d25a8a85c0bdd0010d55f,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368808316,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4196.3974609375,25,1920,1080.0,7150658511,75,yuv420p,56.91918182373047,1.052527904510498,6.307738304138184,8.169727325439453,8.355926513671875,45.92075729370117,37.09445571899414,1.9851574897766113,43.846282958984375,43.66433334350586,73.3257827758789,49.91118240356445,5.57393217086792,62.134765625,62.25243377685547,76.9432144165039,74.87501525878906,0.5771560072898865,75.83193969726562,75.84307098388672,137.53330993652344,135.98094177246094,0.29359790682792664,136.19723510742188,136.27943420410156,124.38983154296875,123.4129867553711,0.197653666138649,124.12651062011719,124.10428619384766,94.4469985961914,77.47395324707031,3.1398167610168457,93.1847915649414,92.60346221923828,54.3701286315918,42.0366096496582,2.347917318344116,53.72926712036133,53.329246520996094,6.612013339996338,6.195603847503662,0.08034276217222214,6.308647155761719,6.313924789428711,10.505488395690918,7.237139701843262,0.6186816692352295,10.32672119140625,10.218706130981445,51.4254035949707,41.632171630859375,1.8070118427276611,50.04713821411133,49.77974319458008,0.0,0.0,0.0,0.0,0.0,0.4506172835826874,0.04938271641731262,0.07012300938367844,0.12037037312984467,0.1370781809091568,5,7.235609531402588,1.7348999977111816,1.0314249992370605,2.0059974193573,2.2273690700531006,,,,5251,5251,"[{'under_exposure_event_id': 5251, 'consecutive_under_exposure_frames': 72, 'status': True}]",,,,,,,,,,stacking,95%,3.33,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,21874,21875,"[{'static_image_event_id': 21874, 'consecutive_static_image_frames': 3, 'status': False}, {'static_image_event_id': 21875, 'consecutive_static_image_frames': 5, 'status': False}]",udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:08 CEST,"[2.56, 4.7]",2022-05-12 00:00:00+02:00,627d25aba85c0bdd0010d560,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368811104,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3380.2880859375,25,1920,1080.0,7150928511,75,yuv420p,59.135711669921875,1.3358410596847534,6.495777130126953,5.355699062347412,5.665264129638672,46.250335693359375,35.134864807128906,4.709131717681885,44.48847579956055,41.123268127441406,76.72792053222656,44.3482551574707,9.887514114379883,63.59071731567383,59.90643310546875,77.71949005126953,75.02278137207031,1.12344229221344,75.39900207519531,76.24612426757812,137.37637329101562,136.00628662109375,0.5752082467079163,136.2156982421875,136.65061950683594,124.51656341552734,123.58175659179688,0.2998601198196411,124.17728424072266,124.04537963867188,93.71813201904297,74.92745971679688,9.009273529052734,92.8278579711914,85.23603820800781,54.068382263183594,40.98123550415039,6.309163570404053,53.67128372192383,48.306514739990234,6.596597671508789,6.168587684631348,0.1754986196756363,6.239468097686768,6.358473777770996,10.35757064819336,7.161996364593506,1.5495258569717407,10.233466148376465,8.922599792480469,50.93880844116211,40.55669021606445,4.637477397918701,49.870849609375,46.142967224121094,0.0,0.0,0.0,0.0,0.0,0.6080247163772583,0.06790123134851456,0.15184222161769867,0.14506173133850098,0.23436212539672852,33,9.561885833740234,1.9478586912155151,3.1335957050323486,2.77142596244812,5.188242435455322,,,,5251,5251,"[{'under_exposure_event_id': 5251, 'consecutive_under_exposure_frames': 114, 'status': False}]",,,,,,,,,,stacking,95%,2.66934045135517,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,21876,21877,"[{'static_image_event_id': 21876, 'consecutive_static_image_frames': 4, 'status': False}, {'static_image_event_id': 21877, 'consecutive_static_image_frames': 2, 'status': False}]",udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,"['warning_UnderExposure', 'warning_Blocking']"
2022-05-12 17:20:11 CEST,"[2.26, 4.4]",2022-05-12 00:00:00+02:00,627d25ae2b3a97b77b5d68c0,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368814165,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2862.07470703125,25,1920,1080.0,7151198511,75,yuv420p,57.305946350097656,0.593761682510376,7.77340030670166,4.5501389503479,6.741745948791504,42.92903137207031,35.54703140258789,2.7919769287109375,41.10186004638672,39.59737777709961,55.82087326049805,43.75700378417969,2.5844955444335938,51.411563873291016,51.1898307800293,78.64060974121094,76.37580108642578,0.5049087405204773,77.80723571777344,77.78793334960938,137.37930297851562,136.5700225830078,0.3180594742298126,136.8043670654297,136.9464569091797,124.10328674316406,123.56636047363281,0.14844630658626556,123.84835815429688,123.83116149902344,92.23334503173828,74.93324279785156,7.391859531402588,89.38346862792969,84.55145263671875,52.93599319458008,41.3834114074707,5.484498977661133,52.65693283081055,48.54322052001953,6.604186058044434,6.300800323486328,0.12346755713224411,6.3701653480529785,6.434727191925049,10.288480758666992,7.196789264678955,1.4466030597686768,10.110115051269531,9.073524475097656,47.90056610107422,40.40793991088867,2.9176244735717773,46.135772705078125,44.29713439941406,0.012437811121344566,0.0,0.0014361947542056441,0.0,0.00016583748220000416,0.3580246865749359,0.07407407462596893,0.07683206349611282,0.14506173133850098,0.17987655103206635,20,8.915812492370605,1.617618441581726,2.984799861907959,2.2293665409088135,4.332335948944092,,,,5252,5252,"[{'under_exposure_event_id': 5252, 'consecutive_under_exposure_frames': 47, 'status': True}]",,,,,,,,,,stacking,95%,3.33,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,21878,21880,"[{'static_image_event_id': 21878, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 21879, 'consecutive_static_image_frames': 8, 'status': False}, {'static_image_event_id': 21880, 'consecutive_static_image_frames': 6, 'status': False}]",udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:14 CEST,"[2.06, 4.2]",2022-05-12 00:00:00+02:00,627d25b22b3a97b77b5d68c1,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368817482,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3953.962646484375,25,1920,1080.0,7151468511,75,yuv420p,75.6701889038086,11.154753684997559,9.97803020477295,24.00605010986328,22.99848175048828,64.57788848876953,36.66802978515625,9.884811401367188,42.09988021850586,47.64106369018555,119.00597381591797,41.13168716430664,23.944177627563477,57.820865631103516,70.5115966796875,86.24152374267578,77.76481628417969,2.824925184249878,81.87474060058594,82.33138275146484,137.92994689941406,136.84686279296875,0.2411382794380188,137.53106689453125,137.5040283203125,123.76266479492188,121.42037963867188,0.7182139754295349,122.80069732666016,122.57744598388672,92.45630645751953,86.38423919677734,1.4193435907363892,89.08518981933594,89.16439056396484,62.21834182739258,48.949562072753906,3.455256700515747,51.790374755859375,53.37995910644531,6.692751884460449,5.842922687530518,0.18178564310073853,6.36024284362793,6.3524651527404785,9.995060920715332,8.761170387268066,0.29333069920539856,9.358516693115234,9.368376731872559,55.21003723144531,41.611595153808594,4.879007339477539,44.69987106323242,47.7064208984375,0.012437811121344566,0.0,0.0014361947542056441,0.0,0.00016583748220000416,0.3333333432674408,0.018518518656492233,0.06947655230760574,0.10802469402551651,0.11078190058469772,3,3.5758485794067383,1.5086948871612549,0.4539588987827301,2.3059866428375244,2.339717388153076,,,,5252,5255,"[{'under_exposure_event_id': 5252, 'consecutive_under_exposure_frames': 49, 'status': False}, {'under_exposure_event_id': 5253, 'consecutive_under_exposure_frames': 15, 'status': False}, {'under_exposure_event_id': 5254, 'consecutive_under_exposure_frames': 3, 'status': False}, {'under_exposure_event_id': 5255, 'consecutive_under_exposure_frames': 36, 'status': True}]",,,,,,,,,,stacking,95%,3.13,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:17 CEST,"[2.11, 4.25]",2022-05-12 00:00:00+02:00,627d25b42b3a97b77b5d68c2,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368820389,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3761.80810546875,25,1920,1080.0,7151738511,75,yuv420p,23.46839141845703,12.64855670928955,3.334512948989868,13.7999849319458,15.579819679260254,70.93242645263672,62.50465393066406,1.7028930187225342,68.37752532958984,67.89677429199219,149.18141174316406,110.62893676757812,9.596662521362305,133.93902587890625,132.5530242919922,93.58358001708984,86.25289154052734,2.244661808013916,92.28948974609375,91.14140319824219,138.25978088378906,137.4929962158203,0.1710197627544403,137.97366333007812,137.96047973632812,121.6879653930664,120.525634765625,0.24830728769302368,121.07269287109375,121.0800552368164,92.55811309814453,86.35651397705078,1.539427638053894,88.13151550292969,88.50927734375,58.735233306884766,55.63511657714844,0.8562914729118347,57.365882873535156,57.322322845458984,7.091639518737793,6.612555027008057,0.09250249713659286,6.843571662902832,6.858879566192627,9.557308197021484,9.094863891601562,0.11157678812742233,9.277188301086426,9.285575866699219,55.59657287597656,49.697959899902344,1.2356274127960205,52.25236129760742,52.2739372253418,0.024875622242689133,0.0,0.002872389741241932,0.0,0.0003316749644000083,0.08024691045284271,0.006172839552164078,0.015906725078821182,0.02777777798473835,0.03176954761147499,0,3.47236967086792,1.2816014289855957,0.48344436287879944,2.1914892196655273,2.1771371364593506,,,,5255,5255,"[{'under_exposure_event_id': 5255, 'consecutive_under_exposure_frames': 111, 'status': True}]",,,,,,,,,,stacking,95%,3.18,0.169,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:20 CEST,"[2.32, 4.46]",2022-05-12 00:00:00+02:00,627d25b72b3a97b77b5d68c3,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368823288,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3523.008056640625,25,1920,1080.0,7152008511,75,yuv420p,13.172113418579102,7.3882012367248535,1.7559040784835815,9.889451026916504,9.90267562866211,68.8583984375,63.31139373779297,1.4419056177139282,66.84295654296875,66.56068420410156,142.4033203125,106.55987548828125,8.214983940124512,124.19596099853516,126.5859146118164,94.06383514404297,87.32521057128906,2.3416364192962646,91.57099151611328,91.37957000732422,137.90525817871094,137.42242431640625,0.13260969519615173,137.6902618408203,137.6807098388672,121.68602752685547,120.80998229980469,0.21320503950119019,121.21083068847656,121.26242065429688,91.3735580444336,85.93482971191406,1.4198116064071655,88.24221801757812,88.4451904296875,58.84947204589844,56.48647689819336,0.8385311365127563,57.30335998535156,57.474334716796875,7.071954727172852,6.4563889503479,0.21634502708911896,6.6087870597839355,6.698359966278076,9.91674518585205,8.985575675964355,0.310048371553421,9.171586990356445,9.341402053833008,54.59347915649414,49.116729736328125,1.364248514175415,52.46588897705078,52.038185119628906,0.012437811121344566,0.0,0.0014361949870362878,0.0,0.00016583748220000416,0.07098765671253204,0.0,0.01396029070019722,0.018518518656492233,0.02168724127113819,0,1.8736428022384644,0.8965283036231995,0.17019341886043549,1.2514301538467407,1.261952519416809,,,,5255,5255,"[{'under_exposure_event_id': 5255, 'consecutive_under_exposure_frames': 186, 'status': True}]",,,,,,,,,,stacking,95%,3.39,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:23 CEST,"[2.67, 4.81]",2022-05-12 00:00:00+02:00,627d25baf6cc72775c04dc24,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368826091,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,2853.546630859375,25,1920,1080.0,7152278511,75,yuv420p,63.29982376098633,3.104757070541382,6.944703578948975,5.5781331062316895,6.682210922241211,68.3687515258789,38.52755355834961,13.500566482543945,66.42198181152344,56.99824142456055,133.3859100341797,51.26374053955078,31.098573684692383,112.81303405761719,96.29512023925781,93.97049713134766,57.08755111694336,17.14788818359375,93.30154418945312,80.3398666381836,137.63287353515625,135.63629150390625,0.7583337426185608,137.33644104003906,136.84877014160156,128.32164001464844,121.22341918945312,3.0383100509643555,121.6630630493164,123.8083724975586,100.16349792480469,87.8240737915039,5.06682825088501,89.4135513305664,92.86913299560547,59.612308502197266,36.89012145996094,10.781100273132324,59.36835861206055,51.16680908203125,7.086085319519043,6.339048862457275,0.24494296312332153,6.923677444458008,6.7856292724609375,12.243143081665039,9.575704574584961,1.0667011737823486,9.766853332519531,10.495423316955566,56.715702056884766,43.27586364746094,4.946614742279053,54.499629974365234,51.492515563964844,0.012437811121344566,0.0,0.0014361949870362878,0.0,0.00016583748220000416,0.422839492559433,0.003086419776082039,0.10029945522546768,0.021604938432574272,0.08563786000013351,6,13.801013946533203,1.1392089128494263,5.369657039642334,1.6656055450439453,5.594783306121826,,,,5255,5255,"[{'under_exposure_event_id': 5255, 'consecutive_under_exposure_frames': 261, 'status': True}]",,,,,,,,,,stacking,95%,3.74,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,[]
2022-05-12 17:20:26 CEST,"[1.85, 3.99]",2022-05-12 00:00:00+02:00,627d25bd2b3a97b77b5d68c4,live,super_exhaustive,627d1c51f6cc72775c04db4c,1652368829082,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3462.397216796875,25,1920,1080.0,7152548511,75,yuv420p,63.029640197753906,3.4931859970092773,6.809693813323975,7.266605854034424,8.257559776306152,39.955631256103516,32.50234603881836,2.2839505672454834,35.092613220214844,35.73326110839844,61.262786865234375,34.040618896484375,7.691112041473389,46.610958099365234,47.174373626708984,119.34675598144531,59.421592712402344,25.351797103881836,116.56504821777344,101.07232666015625,137.24378967285156,135.5747833251953,0.5894950032234192,136.96035766601562,136.66146850585938,128.644775390625,118.83422088623047,4.139480113983154,119.29521179199219,121.78971099853516,98.61588287353516,82.6112289428711,5.670359134674072,84.58283996582031,87.94844055175781,66.85169982910156,36.82442855834961,13.29293441772461,66.33627319335938,58.2221565246582,6.567729949951172,4.704885959625244,0.7801589369773865,4.850706577301025,5.305165767669678,12.591655731201172,9.523921966552734,1.159726619720459,9.941065788269043,10.58448314666748,47.82515335083008,44.38174057006836,0.838302731513977,46.16960525512695,45.975284576416016,0.0,0.0,0.0,0.0,0.0,2.0709877014160156,0.12345679104328156,0.4888399839401245,0.7438271641731262,0.7574897408485413,54,14.827780723571777,1.3459621667861938,4.929274559020996,2.102792501449585,4.948101043701172,,,,5255,5255,"[{'under_exposure_event_id': 5255, 'consecutive_under_exposure_frames': 282, 'status': False}]",,,,,,,,,,stacking,95%,1.7642916973945275,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Servir y proteger,La 1 HD,RTVE,16.0,"['alert_UnderExposure', 'alert_Blocking', 'alert_MOS']"
