timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-14 19:04:59 CEST,"[1.62, 3.76]",2022-05-14 00:00:00+02:00,627fe13eb6c4658ccbb9809b,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547902703,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3913.78125,25,1920,1080.0,6089288927,75,yuv420p,74.57233428955078,2.3982720375061035,10.89543342590332,18.258098602294922,16.109739303588867,73.0431900024414,52.35683822631836,4.7929863929748535,62.94078063964844,61.10697937011719,232.93002319335938,103.36190795898438,22.62270164489746,150.2424774169922,147.48971557617188,85.13296508789062,61.002403259277344,5.279641628265381,70.2521743774414,71.2879409790039,138.52423095703125,135.2386474609375,0.8097121119499207,136.86058044433594,136.71702575683594,115.57938385009766,112.40697479248047,0.8647945523262024,115.02213287353516,114.66854095458984,130.3560791015625,101.53215789794922,7.004471302032471,111.96417999267578,112.98881530761719,83.58911895751953,52.73534393310547,6.244410514831543,67.06441497802734,67.9277572631836,20.595691680908203,19.090513229370117,0.3427560031414032,20.005273818969727,19.969907760620117,13.594342231750488,11.552370071411133,0.4838176965713501,12.941701889038086,12.894855499267578,91.95145416259766,84.68162536621094,1.8456517457962036,87.3491439819336,87.79195404052734,0.0,0.0,0.0,0.0,0.0,0.06790123134851456,0.006172839552164078,0.013991237618029118,0.03086419776082039,0.030041150748729706,0,7.540672779083252,3.8855650424957275,1.0422569513320923,5.485231876373291,5.69821834564209,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 751, 'status': True}]",,,,,,,,,,stacking,95%,2.69,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,11794,11794,"[{'over_exposure_event_id': 11794, 'consecutive_over_exposure_frames': 3, 'status': False}]",,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:02 CEST,"[2.25, 4.39]",2022-05-14 00:00:00+02:00,627fe141b6c4658ccbb9809c,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547905818,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3751.327880859375,25,1920,1080.0,6089558927,75,yuv420p,10.885964393615723,2.2470102310180664,1.9244760274887085,5.030825614929199,5.460431098937988,64.20458984375,59.73862838745117,0.9287225604057312,62.562721252441406,62.4582405090332,158.58689880371094,136.57839965820312,5.270135402679443,146.82421875,147.76296997070312,74.38838958740234,70.81514739990234,1.1704578399658203,73.27368927001953,72.80503845214844,137.15586853027344,136.58953857421875,0.11980310082435608,136.95599365234375,136.93780517578125,116.42572021484375,115.05571746826172,0.3830150067806244,115.6977767944336,115.739501953125,109.17517852783203,102.77666473388672,1.6293302774429321,106.38599395751953,105.90216827392578,71.17437744140625,70.43537902832031,0.20308120548725128,70.86468505859375,70.84790802001953,20.061277389526367,19.553682327270508,0.10982104390859604,19.779930114746094,19.776395797729492,13.541210174560547,12.772300720214844,0.15443556010723114,13.038065910339355,13.051949501037598,88.33442687988281,85.40342712402344,0.6234032511711121,86.60171508789062,86.62110137939453,0.0,0.0,0.0,0.0,0.0,0.05246913433074951,0.0,0.010536104440689087,0.018518518656492233,0.02131687104701996,0,5.72947883605957,3.6436195373535156,0.48911601305007935,4.781275272369385,4.754141330718994,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 826, 'status': True}]",,,,,,,,,,stacking,95%,3.32,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:05 CEST,"[2.0, 4.14]",2022-05-14 00:00:00+02:00,627fe144b8dabdc7dc0cec0d,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547908908,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4658.6162109375,25,1920,1080.0,6089828927,75,yuv420p,64.83432006835938,7.107465744018555,6.440585613250732,14.147257804870605,14.784387588500977,62.37864303588867,48.35729217529297,2.980968475341797,56.93187713623047,56.54988098144531,166.46536254882812,63.67267608642578,22.147974014282227,136.66342163085938,128.8113555908203,71.97967529296875,54.356197357177734,4.989736557006836,55.218021392822266,57.285682678222656,138.19610595703125,131.5257110595703,1.3631919622421265,137.0899658203125,136.81558227539062,117.73344421386719,116.17240142822266,0.37315940856933594,117.41532135009766,117.31005096435547,121.49935150146484,103.80774688720703,4.708223819732666,118.4408187866211,116.99371337890625,70.50146484375,55.59506607055664,4.3397393226623535,56.48707962036133,58.2061653137207,19.815906524658203,6.4578962326049805,2.8784546852111816,19.09096336364746,18.4799747467041,12.93525218963623,9.468178749084473,0.9932337403297424,9.738649368286133,10.043124198913574,94.48919677734375,86.25970458984375,2.006859302520752,91.53062438964844,91.0212631225586,0.0,0.0,0.0,0.0,0.0,0.1111111119389534,0.009259259328246117,0.023826254531741142,0.040123455226421356,0.04534979537129402,0,9.291499137878418,4.244006633758545,1.3838658332824707,7.757638931274414,7.355585098266602,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 901, 'status': True}]",,,,,,,,,,stacking,95%,3.07,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:08 CEST,"[1.84, 3.98]",2022-05-14 00:00:00+02:00,627fe1479fe107c4d3edcb00,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547911723,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4387.64013671875,25,1920,1080.0,6090098927,75,yuv420p,54.3763542175293,8.313153266906738,5.817943572998047,16.8774356842041,16.03632164001465,66.08734893798828,55.27116394042969,3.7322909832000732,57.251399993896484,58.80171203613281,224.5674285888672,104.75714111328125,28.012346267700195,151.2605743408203,142.40081787109375,77.24468231201172,52.67928695678711,9.862318992614746,54.26002883911133,59.76594924926758,138.6297149658203,135.78933715820312,1.0267521142959595,138.2860565185547,137.75955200195312,119.30804443359375,116.54582977294922,0.8518407940864563,117.42418670654297,117.68561553955078,122.927001953125,82.50074005126953,15.907350540161133,119.41477966308594,110.98404693603516,69.478515625,52.50923156738281,6.8320746421813965,53.84632873535156,57.55323028564453,19.57528305053711,16.63576889038086,1.159538745880127,19.3660831451416,18.7239933013916,9.977676391601562,9.094378471374512,0.21628856658935547,9.460777282714844,9.461424827575684,93.4196548461914,77.89271545410156,5.611304759979248,90.88932800292969,88.08463287353516,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.10185185074806213,0.0,0.020061146467924118,0.02469135820865631,0.02987654320895672,0,9.715014457702637,5.881421089172363,0.6855630874633789,7.184383869171143,7.169523239135742,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 976, 'status': True}]",,,,,,,,,,stacking,95%,2.91,0.114,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:11 CEST,"[2.18, 4.32]",2022-05-14 00:00:00+02:00,627fe14bb8dabdc7dc0cec0e,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547915131,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4797.83740234375,25,1920,1080.0,6090368927,75,yuv420p,15.642178535461426,9.668525695800781,1.4642342329025269,12.14852237701416,12.2612886428833,66.00425720214844,61.47648239135742,0.9884966611862183,64.22501373291016,64.19120788574219,220.57286071777344,161.1398468017578,16.293771743774414,174.28306579589844,180.81517028808594,77.12712097167969,72.92740631103516,0.9533435106277466,74.58271789550781,74.68452453613281,137.1660614013672,136.09518432617188,0.2626727819442749,136.3491668701172,136.43406677246094,119.9980697631836,119.03475189208984,0.24370552599430084,119.39933776855469,119.42295837402344,86.42607116699219,82.23931884765625,1.0894145965576172,84.15159606933594,84.22161865234375,69.37013244628906,65.54527282714844,0.9128928184509277,67.51466369628906,67.3873062133789,16.883682250976562,16.430322647094727,0.08124706894159317,16.58299446105957,16.598190307617188,9.270037651062012,8.509010314941406,0.2153758555650711,8.894850730895996,8.86751937866211,79.98971557617188,77.041015625,0.7039960026741028,78.46076965332031,78.42940521240234,0.012437811121344566,0.0,0.001436194870620966,0.0,0.00016583748220000416,0.04938271641731262,0.003086419776082039,0.010013921186327934,0.015432098880410194,0.017448561266064644,0,8.951045989990234,7.057567119598389,0.41292139887809753,7.893422603607178,7.954129219055176,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 1051, 'status': True}]",,,,,,,,,,stacking,95%,3.25,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:14 CEST,"[2.13, 4.27]",2022-05-14 00:00:00+02:00,627fe14db6c4658ccbb9809d,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547917760,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4629.64794921875,25,1920,1080.0,6090638927,75,yuv420p,65.49845886230469,11.972267150878906,5.901127815246582,15.365275382995605,16.092945098876953,65.19995880126953,45.06692123413086,2.898883581161499,62.47760772705078,62.02688217163086,225.61709594726562,58.03921890258789,34.784263610839844,173.4540557861328,182.3571014404297,75.623779296875,6.912952423095703,13.102179527282715,74.65742492675781,71.80802154541016,137.7382354736328,128.3385772705078,1.7645514011383057,137.3256072998047,136.98609924316406,127.11138916015625,118.64630126953125,1.5505400896072388,119.33116149902344,119.54338836669922,92.79931640625,71.87202453613281,3.0444955825805664,87.3897933959961,87.4573974609375,66.52987670898438,31.368267059326172,6.03916072845459,65.49358367919922,64.39092254638672,16.79363441467285,4.212775707244873,2.371220827102661,16.54828643798828,16.070459365844727,8.900359153747559,5.489268779754639,0.5535044074058533,8.592214584350586,8.49456787109375,115.2048110961914,76.87335968017578,6.575180530548096,79.1004867553711,80.26160430908203,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.07098765671253204,0.003086419776082039,0.014315396547317505,0.021604938432574272,0.025637859478592873,0,8.704127311706543,4.702854156494141,0.8463566303253174,6.794834613800049,6.823024272918701,,,,23055,23055,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 1126, 'status': True}]",3544,3544,"[{'dark_event_id': 3544, 'consecutive_dark_frames': 3, 'status': True}]",,,,,,,stacking,95%,3.2,0.114,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,9365,9365,"[{'contrast_event_id': 9365, 'consecutive_contrast_frames': 1, 'status': False}]",,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:17 CEST,"[2.37, 4.51]",2022-05-14 00:00:00+02:00,627fe1509fe107c4d3edcb01,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547920755,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4875.306640625,25,1920,1080.0,6090908927,75,yuv420p,93.5389633178711,2.298901081085205,11.86324691772461,14.299129486083984,14.895049095153809,79.86192321777344,45.731590270996094,11.699929237365723,54.2668571472168,59.15884017944336,265.23516845703125,60.564849853515625,51.93091583251953,122.91331481933594,137.17979431152344,118.8125991821289,10.372182846069336,30.442853927612305,86.70938110351562,81.69420623779297,144.1046142578125,128.64212036132812,4.6102166175842285,137.97866821289062,137.79727172851562,126.81597900390625,110.6163330078125,4.9893012046813965,120.55406951904297,119.03428649902344,135.072998046875,63.571746826171875,19.109729766845703,89.68112182617188,86.0575942993164,87.46615600585938,39.5556640625,9.974732398986816,72.75080108642578,70.17644500732422,19.777997970581055,5.044157028198242,5.302813529968262,19.295146942138672,16.344886779785156,19.742416381835938,6.252170085906982,4.104022979736328,11.351980209350586,12.50898551940918,110.89888000488281,60.678165435791016,15.673768997192383,64.18538665771484,73.23235321044922,0.0,0.0,0.0,0.0,0.0,0.40740740299224854,0.0,0.11597543954849243,0.10185185074806213,0.12761317193508148,16,10.235443115234375,1.6679904460906982,1.9759830236434937,5.916632652282715,5.74364709854126,,,,23055,23056,"[{'under_exposure_event_id': 23055, 'consecutive_under_exposure_frames': 1161, 'status': False}, {'under_exposure_event_id': 23056, 'consecutive_under_exposure_frames': 22, 'status': False}]",3544,3544,"[{'dark_event_id': 3544, 'consecutive_dark_frames': 7, 'status': False}]",,,,,,,stacking,95%,3.44,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,['alert_UnderExposure']
2022-05-14 19:05:20 CEST,"[2.69, 4.83]",2022-05-14 00:00:00+02:00,627fe15300a30e9c597a6baa,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547923893,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4568.17578125,25,1920,1080.0,6091178927,75,yuv420p,95.3754653930664,2.0400516986846924,11.420637130737305,3.2220587730407715,5.797900676727295,81.37803649902344,62.2182731628418,4.575247764587402,79.72965240478516,78.49314880371094,236.6543731689453,115.84178924560547,22.71608543395996,202.65310668945312,200.49905395507812,120.26797485351562,98.61506652832031,5.820141315460205,119.06547546386719,116.44461059570312,144.2796630859375,138.08074951171875,1.6803470849990845,143.9796905517578,143.4152374267578,117.06526184082031,109.23736572265625,1.9874703884124756,110.14322662353516,110.62317657470703,98.11018371582031,89.81645965576172,2.006209373474121,91.77444458007812,92.43057250976562,73.4357681274414,65.86140441894531,2.0627739429473877,73.06586456298828,72.38532257080078,20.938390731811523,19.148456573486328,0.41555607318878174,19.34367561340332,19.456077575683594,20.20759391784668,11.30618667602539,2.461392402648926,19.873878479003906,19.123708724975586,65.53153991699219,62.89570236206055,0.6134830117225647,64.94989013671875,64.72966766357422,0.0,0.0,0.0,0.0,0.0,0.040123455226421356,0.0,0.007508441340178251,0.009259259328246117,0.01139917690306902,0,7.44903564453125,6.245057582855225,0.22081075608730316,6.744120121002197,6.726916790008545,,,,23057,23058,"[{'under_exposure_event_id': 23057, 'consecutive_under_exposure_frames': 4, 'status': False}, {'under_exposure_event_id': 23058, 'consecutive_under_exposure_frames': 2, 'status': True}]",,,,,,,,,,stacking,95%,3.76,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:23 CEST,"[2.21, 4.35]",2022-05-14 00:00:00+02:00,627fe1569fe107c4d3edcb04,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547926845,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4578.33056640625,25,1920,1080.0,6091448927,75,yuv420p,21.83510398864746,8.979388236999512,2.662980556488037,13.379570007324219,14.000123977661133,64.15780639648438,54.79092788696289,2.0345959663391113,60.58663558959961,60.20942687988281,158.72738647460938,109.88648223876953,10.81716251373291,133.174072265625,133.66029357910156,99.2779769897461,92.75922393798828,1.67307710647583,96.81425476074219,96.20755004882812,138.26904296875,137.1580352783203,0.31591957807540894,137.59246826171875,137.66934204101562,118.70481872558594,116.9299087524414,0.3592291474342346,118.35391998291016,118.22505187988281,98.31288146972656,93.32942962646484,1.211882472038269,96.31763458251953,96.26439666748047,66.07733917236328,64.80941772460938,0.3923030197620392,65.3238296508789,65.40715789794922,21.303836822509766,20.149587631225586,0.2158215045928955,20.501388549804688,20.517452239990234,11.920639991760254,11.045026779174805,0.2456209808588028,11.478836059570312,11.459259986877441,66.97169494628906,62.75794219970703,1.0429470539093018,64.6165542602539,64.79692840576172,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.021604938432574272,0.0,0.005005932413041592,0.006172839552164078,0.006378600839525461,0,7.427476406097412,3.267237424850464,0.8083562850952148,5.687650680541992,5.774723529815674,,,,23058,23061,"[{'under_exposure_event_id': 23058, 'consecutive_under_exposure_frames': 3, 'status': False}, {'under_exposure_event_id': 23059, 'consecutive_under_exposure_frames': 56, 'status': False}, {'under_exposure_event_id': 23060, 'consecutive_under_exposure_frames': 1, 'status': False}, {'under_exposure_event_id': 23061, 'consecutive_under_exposure_frames': 5, 'status': True}]",,,,,,,,,,stacking,95%,3.28,0.114,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
2022-05-14 19:05:26 CEST,"[2.86, 5.0]",2022-05-14 00:00:00+02:00,627fe15900a30e9c597a6bab,live,super_exhaustive,627fe13eb6c4658ccbb9809a,1652547929868,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4664.09033203125,25,1920,1080.0,6091718927,75,yuv420p,91.3459701538086,2.046743869781494,12.44272232055664,3.4739861488342285,10.090228080749512,78.70889282226562,55.49313735961914,9.885381698608398,77.2029800415039,69.87633514404297,359.96612548828125,111.2904052734375,38.08017349243164,191.25254821777344,180.14198303222656,112.90390014648438,93.89228820800781,7.444162368774414,110.8505630493164,106.18738555908203,145.42633056640625,137.50857543945312,3.088200330734253,144.59991455078125,142.54884338378906,118.70606994628906,107.80757141113281,4.813178062438965,108.18896484375,111.74373626708984,107.43167877197266,95.37242889404297,3.880662679672241,103.70864868164062,101.87966918945312,70.98524475097656,64.1045150756836,2.7972726821899414,70.49617767333984,68.47530364990234,20.739078521728516,18.91830062866211,0.6070961952209473,19.065404891967773,19.47197914123535,19.576793670654297,11.210338592529297,3.8691720962524414,19.219026565551758,16.344316482543945,69.4560546875,63.072998046875,1.6255284547805786,67.58844757080078,66.74418640136719,0.0,0.0,0.0,0.0,0.0,0.12654320895671844,0.0,0.03023368865251541,0.015432098880410194,0.02621399238705635,0,7.531862258911133,4.642359256744385,0.9264408349990845,7.0026350021362305,6.481235504150391,,,,23061,23062,"[{'under_exposure_event_id': 23061, 'consecutive_under_exposure_frames': 25, 'status': False}, {'under_exposure_event_id': 23062, 'consecutive_under_exposure_frames': 1, 'status': False}]",,,,,,,,,,stacking,95%,3.93,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,57787,57788,"[{'static_image_event_id': 57787, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 57788, 'consecutive_static_image_frames': 2, 'status': True}]",udp://224.0.1.3:5678,534,Cine de Barrio,La 1 HD,RTVE,16.0,[]
