timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-15 15:59:58 CEST,"[2.9, 5.0]",2022-05-15 00:00:00+02:00,62810761b87fa79214121198,live,super_exhaustive,62810059a50440c3d009661f,1652623201468,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4335.2744140625,25,1920,1080.0,4276224735,75,yuv420p,15.320889472961426,5.898115158081055,2.110213041305542,8.249338150024414,8.790298461914062,99.289794921875,88.77041625976562,2.6674602031707764,94.5500259399414,94.37110137939453,985.7066040039062,436.0357666015625,110.02034759521484,542.84521484375,573.3389282226562,115.28848266601562,69.94842529296875,13.484227180480957,95.34916687011719,94.07192993164062,129.30624389648438,124.97893524169922,1.1245520114898682,128.15493774414062,127.82135772705078,161.30870056152344,152.6674346923828,2.52795672416687,155.34710693359375,155.76202392578125,163.22674560546875,103.19061279296875,17.462900161743164,124.13373565673828,127.2337875366211,54.801631927490234,47.670509338378906,2.2510688304901123,49.929969787597656,50.46383285522461,13.885004043579102,9.932622909545898,1.064449429512024,11.442180633544922,11.640921592712402,19.529815673828125,15.205232620239258,1.2296608686447144,17.27512550354004,17.33517837524414,65.9228515625,53.430259704589844,3.620206117630005,61.02901077270508,60.58793640136719,0.0,0.0,0.0,0.0,0.0,0.06481481343507767,0.0,0.01130377035588026,0.012345679104328156,0.014032921753823757,0,9.60193920135498,6.060606002807617,0.607827365398407,7.687862396240234,7.668645858764648,,,,34898,34898,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 11, 'status': True}]",,,,,,,,,,stacking,95%,3.97,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:01 CEST,"[2.9, 5.0]",2022-05-15 00:00:00+02:00,62810764a50440c3d00966c7,live,super_exhaustive,62810059a50440c3d009661f,1652623204351,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3928.048095703125,25,1920,1080.0,4276494735,75,yuv420p,12.2046537399292,4.383550643920898,1.9296669960021973,6.576721668243408,6.868854999542236,104.77481842041016,92.04373931884766,2.9503238201141357,100.77053833007812,100.12968444824219,812.4445190429688,453.2029113769531,80.02997589111328,555.21337890625,563.9559326171875,69.6722640991211,51.566776275634766,5.078039646148682,55.57906723022461,57.38386535644531,125.06957244873047,118.79125213623047,1.945658802986145,120.28911590576172,120.99683380126953,167.7034149169922,161.35586547851562,1.6515835523605347,166.1656951904297,165.50999450683594,197.4239959716797,163.94363403320312,9.78938102722168,192.7967529296875,187.95455932617188,53.93638610839844,48.14168167114258,1.524263620376587,51.32882308959961,51.14567184448242,15.187824249267578,13.344733238220215,0.5717871189117432,14.160467147827148,14.2739896774292,20.5226993560791,19.348037719726562,0.36606112122535706,20.024782180786133,19.96585464477539,70.81013488769531,65.38421630859375,1.5753310918807983,67.65382385253906,67.91461944580078,0.0,0.0,0.0,0.0,0.0,0.043209876865148544,0.0,0.01085370872169733,0.015432098880410194,0.016296295449137688,0,11.573010444641113,4.55910062789917,1.8674209117889404,7.908104419708252,7.490372657775879,,,,34898,34898,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 86, 'status': True}]",,,,,,,,,,stacking,95%,3.97,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:04 CEST,"[2.92, 5.0]",2022-05-15 00:00:00+02:00,62810767a50440c3d00966c8,live,super_exhaustive,62810059a50440c3d009661f,1652623207254,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3470.783935546875,25,1920,1080.0,4276764735,75,yuv420p,18.906478881835938,3.6819052696228027,3.324350357055664,4.838122367858887,5.946697235107422,115.92654418945312,98.2491226196289,6.141396999359131,113.94499206542969,110.93783569335938,1218.0413818359375,447.6973876953125,147.0615234375,585.3300170898438,621.1649780273438,59.05647659301758,55.58708572387695,1.0684280395507812,58.50815200805664,58.067752838134766,119.05384826660156,118.61748504638672,0.09776288270950317,118.8905258178711,118.87553405761719,167.9514617919922,166.9893035888672,0.2596696615219116,167.42092895507812,167.42555236816406,193.93800354003906,189.55091857910156,1.3191580772399902,190.593017578125,191.06321716308594,55.64833068847656,53.28227233886719,0.8343108296394348,55.36933517456055,54.97972106933594,14.292052268981934,13.89157772064209,0.10309325158596039,14.071972846984863,14.064993858337402,20.19542694091797,19.690088272094727,0.10843762010335922,19.880781173706055,19.888168334960938,72.05414581298828,69.52333068847656,0.7695826888084412,71.26592254638672,71.06913757324219,0.0,0.0,0.0,0.0,0.0,0.07098765671253204,0.003086419776082039,0.015271889045834541,0.03395061567425728,0.03514403477311134,0,13.835603713989258,9.073078155517578,1.2041902542114258,11.522348403930664,11.439078330993652,,,,34898,34898,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 161, 'status': True}]",,,,,,,,,,stacking,95%,3.99,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:07 CEST,"[2.85, 4.99]",2022-05-15 00:00:00+02:00,6281076a3ab2216aded47042,live,super_exhaustive,62810059a50440c3d009661f,1652623210414,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4237.50146484375,25,1920,1080.0,4277034735,75,yuv420p,25.133441925048828,3.1033315658569336,6.032074928283691,3.7186360359191895,6.789663791656494,117.9526138305664,102.8102035522461,4.3167243003845215,115.27865600585938,113.60746002197266,2030.23095703125,557.2557983398438,278.3742980957031,604.7625732421875,710.2335815429688,59.83492660522461,58.008419036865234,0.4107784330844879,59.121864318847656,59.110206604003906,119.34717559814453,118.85840606689453,0.09992293268442154,119.19257354736328,119.18347930908203,167.3334197998047,166.12362670898438,0.3429439663887024,166.59971618652344,166.66258239746094,190.05429077148438,187.53857421875,0.6119428277015686,188.6678924560547,188.73153686523438,56.11292266845703,54.23677444458008,0.5658025741577148,55.67806625366211,55.55607604980469,14.028380393981934,13.289727210998535,0.2198457568883896,13.450623512268066,13.548439025878906,20.087934494018555,19.492055892944336,0.1601322889328003,19.746551513671875,19.765220642089844,72.3308334350586,70.4775390625,0.45651376247406006,71.83847045898438,71.6897201538086,0.0,0.0,0.0,0.0,0.0,0.4938271641731262,0.003086419776082039,0.06620117276906967,0.02469135820865631,0.037078190594911575,2,12.750635147094727,8.331512451171875,0.9239318370819092,9.90727424621582,10.150018692016602,,,,34898,34898,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 236, 'status': True}]",,,,,,,,,,stacking,95%,3.92,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:10 CEST,"[2.8, 4.94]",2022-05-15 00:00:00+02:00,6281076dd0661996d2d65d41,live,super_exhaustive,62810059a50440c3d009661f,1652623213391,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3712.0107421875,25,1920,1080.0,4277304735,75,yuv420p,19.940176010131836,2.7370972633361816,5.976902961730957,3.139266014099121,6.644299030303955,108.17613983154297,68.18816375732422,6.603618621826172,106.33184051513672,104.55461883544922,1690.4180908203125,191.51678466796875,265.54962158203125,553.5087890625,661.6362915039062,60.20294189453125,38.993770599365234,4.1299285888671875,59.57500076293945,58.3067512512207,122.19359588623047,118.87772369384766,0.622654378414154,119.10075378417969,119.26964569091797,166.53004455566406,153.73345947265625,2.553449869155884,166.26565551757812,165.45761108398438,189.1983642578125,186.4951629638672,0.6619501709938049,187.55795288085938,187.5370635986328,54.87176513671875,35.16763687133789,3.952562093734741,54.778079986572266,53.4807243347168,13.603765487670898,9.05309772491455,0.8655045032501221,13.418773651123047,13.161367416381836,20.214815139770508,13.440081596374512,1.3149207830429077,20.043371200561523,19.645191192626953,71.63451385498047,68.93849182128906,0.5112969875335693,71.16320037841797,71.06944274902344,0.0,0.0,0.0,0.0,0.0,0.5493826866149902,0.009259259328246117,0.06123915687203407,0.043209876865148544,0.052263375371694565,1,11.776009559631348,2.106898307800293,1.5633931159973145,10.579002380371094,10.216222763061523,,,,34898,34898,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 311, 'status': True}]",,,,,,,,,,stacking,95%,3.87,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:13 CEST,"[2.69, 4.83]",2022-05-15 00:00:00+02:00,628107703ab2216aded47043,live,super_exhaustive,62810059a50440c3d009661f,1652623216424,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5134.16796875,25,1920,1080.0,4277574735,75,yuv420p,93.50968933105469,2.049715995788574,20.989166259765625,29.816509246826172,31.27604103088379,60.159305572509766,0.7145996689796448,12.195920944213867,38.05235290527344,34.67749786376953,172.3392333984375,1.8976629972457886,35.902687072753906,44.36343002319336,57.62759780883789,131.37351989746094,0.4522106349468231,35.667701721191406,81.18108367919922,65.47561645507812,183.77340698242188,122.6211929321289,17.11821746826172,152.43582153320312,152.02804565429688,156.48597717285156,128.4732666015625,6.670088291168213,144.2210693359375,142.4243621826172,247.67446899414062,112.93844604492188,35.18484878540039,187.0742645263672,175.39450073242188,70.35043334960938,0.7855337262153625,21.96157455444336,51.874420166015625,46.71623992919922,33.253902435302734,0.11114811152219772,10.480476379394531,23.98579978942871,20.83204460144043,21.944448471069336,0.5424495935440063,6.712116718292236,13.52424430847168,13.571436882019043,124.52582550048828,25.194637298583984,16.538663864135742,68.7147445678711,61.331268310546875,0.012437811121344566,0.0,0.0014361947542056441,0.0,0.00016583748220000416,0.9166666865348816,0.0,0.16323639452457428,0.1419753134250641,0.17279836535453796,15,15.613383293151855,0.0,2.7527143955230713,2.42600679397583,2.970705509185791,,,,34898,34901,"[{'under_exposure_event_id': 34898, 'consecutive_under_exposure_frames': 327, 'status': False}, {'under_exposure_event_id': 34899, 'consecutive_under_exposure_frames': 10, 'status': False}, {'under_exposure_event_id': 34900, 'consecutive_under_exposure_frames': 27, 'status': False}, {'under_exposure_event_id': 34901, 'consecutive_under_exposure_frames': 2, 'status': False}]",4925,4926,"[{'dark_event_id': 4925, 'consecutive_dark_frames': 7, 'status': False}, {'dark_event_id': 4926, 'consecutive_dark_frames': 1, 'status': False}]",,,,,,,stacking,95%,1.9623857032614753,0.111,True,eac3,48000.0,2.0,0.25600001215934753,4235,4236,"[{'saturation_event_id': 4235, 'consecutive_saturation_frames': 4, 'status': False}, {'saturation_event_id': 4236, 'consecutive_saturation_frames': 1, 'status': True}]",,,,14718,14721,"[{'contrast_event_id': 14718, 'consecutive_contrast_frames': 15, 'status': False}, {'contrast_event_id': 14719, 'consecutive_contrast_frames': 4, 'status': False}, {'contrast_event_id': 14720, 'consecutive_contrast_frames': 2, 'status': False}, {'contrast_event_id': 14721, 'consecutive_contrast_frames': 2, 'status': True}]",,,,udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,"['alert_UnderExposure', 'alert_MOS', 'warning_Blocking']"
2022-05-15 16:00:16 CEST,"[2.52, 4.66]",2022-05-15 00:00:00+02:00,628107733ab2216aded4704a,live,super_exhaustive,62810059a50440c3d009661f,1652623219330,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5540.2294921875,25,1920,1080.0,4277844735,75,yuv420p,117.84831237792969,0.5993959903717041,23.84847068786621,29.45695686340332,36.19241714477539,92.16424560546875,19.91292953491211,14.049057960510254,70.98579406738281,70.1119384765625,478.87298583984375,42.48509979248047,117.50199890136719,222.80349731445312,248.6789093017578,148.46360778808594,58.717166900634766,25.373628616333008,110.23450469970703,106.56017303466797,193.65538024902344,142.15542602539062,17.188838958740234,153.27032470703125,160.646728515625,181.46897888183594,137.0806427001953,9.193842887878418,149.1931610107422,151.5070037841797,210.27374267578125,101.26690673828125,30.913616180419922,135.99374389648438,150.58233642578125,89.364501953125,41.7712287902832,13.043865203857422,67.18165588378906,62.369140625,31.7322998046875,11.111621856689453,6.029842376708984,22.43752098083496,19.97318458557129,33.95518493652344,6.545040607452393,5.147121906280518,15.270984649658203,16.836620330810547,113.48062133789062,42.58519744873047,20.454639434814453,77.30835723876953,73.8385009765625,0.012437811121344566,0.0,0.0014361949870362878,0.0,0.00016583748220000416,0.42592594027519226,0.0,0.07391046732664108,0.02777777798473835,0.05209876596927643,3,21.060565948486328,1.3559643030166626,3.9763545989990234,8.43820571899414,9.998345375061035,,,,34902,34904,"[{'under_exposure_event_id': 34902, 'consecutive_under_exposure_frames': 12, 'status': False}, {'under_exposure_event_id': 34903, 'consecutive_under_exposure_frames': 15, 'status': False}, {'under_exposure_event_id': 34904, 'consecutive_under_exposure_frames': 1, 'status': False}]",,,,,,,,,,stacking,95%,3.59,0.111,True,eac3,48000.0,2.0,0.25600001215934753,4236,4236,"[{'saturation_event_id': 4236, 'consecutive_saturation_frames': 1, 'status': False}]",16738,16739,"[{'over_exposure_event_id': 16738, 'consecutive_over_exposure_frames': 8, 'status': False}, {'over_exposure_event_id': 16739, 'consecutive_over_exposure_frames': 3, 'status': False}]",14721,14721,"[{'contrast_event_id': 14721, 'consecutive_contrast_frames': 2, 'status': False}]",64919,64919,"[{'static_image_event_id': 64919, 'consecutive_static_image_frames': 2, 'status': True}]",udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:19 CEST,"[2.25, 4.39]",2022-05-15 00:00:00+02:00,62810776a50440c3d00966c9,live,super_exhaustive,62810059a50440c3d009661f,1652623222643,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5597.1787109375,25,1920,1080.0,4278114735,75,yuv420p,65.51245880126953,0.3327741026878357,14.827213287353516,16.41748046875,19.81608009338379,57.22102737426758,14.487846374511719,12.170720100402832,29.75924301147461,35.564544677734375,215.24212646484375,13.38432502746582,33.21099090576172,61.405792236328125,58.61048126220703,186.42726135253906,21.66154670715332,33.71958541870117,73.89965057373047,71.3773422241211,189.39401245117188,102.79759979248047,25.906051635742188,133.71119689941406,141.1757049560547,148.1002655029297,104.49442291259766,12.280051231384277,128.96400451660156,129.4563446044922,182.9442596435547,9.884038925170898,48.55356979370117,84.06017303466797,106.4883041381836,109.14397430419922,19.575220108032227,18.854711532592773,49.19184875488281,53.04034423828125,25.68019676208496,1.3779371976852417,6.400687217712402,14.096440315246582,15.768497467041016,22.224529266357422,3.534489631652832,4.895793914794922,10.549312591552734,10.685871124267578,98.65850067138672,40.385528564453125,16.488481521606445,60.182472229003906,66.43965911865234,0.0,0.0,0.0,0.0,0.0,0.28703704476356506,0.012345679104328156,0.05611196532845497,0.07098765671253204,0.08436214178800583,3,7.33234977722168,0.0,2.5264220237731934,0.9774966835975647,1.8459964990615845,,,,34905,34905,"[{'under_exposure_event_id': 34905, 'consecutive_under_exposure_frames': 62, 'status': True}]",,,,,,,,,,stacking,95%,3.32,0.071,True,eac3,48000.0,2.0,0.25600001215934753,4237,4237,"[{'saturation_event_id': 4237, 'consecutive_saturation_frames': 1, 'status': True}]",16740,16741,"[{'over_exposure_event_id': 16740, 'consecutive_over_exposure_frames': 1, 'status': False}, {'over_exposure_event_id': 16741, 'consecutive_over_exposure_frames': 3, 'status': True}]",14722,14723,"[{'contrast_event_id': 14722, 'consecutive_contrast_frames': 12, 'status': False}, {'contrast_event_id': 14723, 'consecutive_contrast_frames': 2, 'status': False}]",64919,64919,"[{'static_image_event_id': 64919, 'consecutive_static_image_frames': 15, 'status': False}]",udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:22 CEST,"[1.98, 4.12]",2022-05-15 00:00:00+02:00,62810779b87fa79214121199,live,super_exhaustive,62810059a50440c3d009661f,1652623224869,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3262.615966796875,25,1920,1080.0,4278384735,75,yuv420p,87.12801361083984,1.0840202569961548,10.407257080078125,3.0065431594848633,4.977378845214844,57.71135330200195,21.285120010375977,6.7957282066345215,22.797340393066406,24.538087844848633,190.7993927001953,16.357379913330078,28.57526206970215,18.1241397857666,25.261127471923828,180.29568481445312,19.101436614990234,29.837421417236328,20.253950119018555,26.215328216552734,130.83091735839844,122.05213165283203,1.842591643333435,125.74818420410156,124.81703186035156,130.78900146484375,127.74227142333984,0.6350670456886292,129.4974822998047,129.80958557128906,103.76651000976562,9.996465682983398,20.75672721862793,70.69952392578125,82.1794204711914,105.91304779052734,20.521488189697266,15.80604076385498,22.755064010620117,25.29482650756836,9.734445571899414,1.8317404985427856,2.628849983215332,4.757392406463623,6.464015007019043,5.373988628387451,3.8030660152435303,0.3457536995410919,4.65786600112915,4.792465686798096,85.4020767211914,38.18465805053711,13.55864143371582,58.7142219543457,69.4987564086914,0.0,0.0,0.0,0.0,0.0,0.15432098507881165,0.0,0.041690725833177567,0.06481481343507767,0.06740740686655045,0,1.8324607610702515,0.0,0.4827691614627838,0.5866848230361938,0.6937740445137024,,,,34905,34905,"[{'under_exposure_event_id': 34905, 'consecutive_under_exposure_frames': 137, 'status': True}]",,,,,,,,,,stacking,95%,3.05,0.071,True,eac3,48000.0,2.0,0.25600001215934753,4237,4237,"[{'saturation_event_id': 4237, 'consecutive_saturation_frames': 3, 'status': False}]",16741,16741,"[{'over_exposure_event_id': 16741, 'consecutive_over_exposure_frames': 6, 'status': False}]",14724,14724,"[{'contrast_event_id': 14724, 'consecutive_contrast_frames': 72, 'status': True}]",64920,64921,"[{'static_image_event_id': 64920, 'consecutive_static_image_frames': 2, 'status': False}, {'static_image_event_id': 64921, 'consecutive_static_image_frames': 1, 'status': True}]",udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
2022-05-15 16:00:24 CEST,"[2.13, 4.27]",2022-05-15 00:00:00+02:00,6281077cd0661996d2d65d42,live,super_exhaustive,62810059a50440c3d009661f,1652623228254,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5096.72021484375,25,1920,1080.0,4278654735,75,yuv420p,83.54786682128906,2.29404616355896,14.677928924560547,13.4120512008667,18.51717185974121,55.684730529785156,8.374527931213379,11.294238090515137,23.210893630981445,23.995189666748047,220.307861328125,5.466870307922363,50.6568603515625,29.025522232055664,48.33900451660156,171.91757202148438,10.285004615783691,37.40494155883789,41.803077697753906,48.58731460571289,127.53675079345703,88.04400634765625,10.032407760620117,108.65877532958984,110.74015808105469,155.8907928466797,128.79486083984375,8.840576171875,144.555419921875,142.0904541015625,172.81573486328125,39.46351623535156,35.91719055175781,155.4814910888672,137.73004150390625,101.50423431396484,13.97992992401123,21.568693161010742,38.766265869140625,41.66438674926758,28.97703742980957,5.944019317626953,6.364065647125244,18.414365768432617,17.320066452026367,18.722366333007812,4.141928672790527,4.891678810119629,12.770197868347168,12.020049095153809,102.09752655029297,42.44093322753906,10.573023796081543,96.3359603881836,92.28031158447266,0.012437811121344566,0.0,0.001436194870620966,0.0,0.00016583748220000416,0.4506172835826874,0.009259259328246117,0.08349195122718811,0.10802469402551651,0.11946501582860947,5,2.6586732864379883,0.0,0.7305565476417542,0.6130912899971008,0.760921061038971,,,,34905,34905,"[{'under_exposure_event_id': 34905, 'consecutive_under_exposure_frames': 212, 'status': True}]",4927,4927,"[{'dark_event_id': 4927, 'consecutive_dark_frames': 3, 'status': False}]",,,,,,,stacking,95%,3.2,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,16742,16742,"[{'over_exposure_event_id': 16742, 'consecutive_over_exposure_frames': 5, 'status': False}]",14724,14726,"[{'contrast_event_id': 14724, 'consecutive_contrast_frames': 74, 'status': False}, {'contrast_event_id': 14725, 'consecutive_contrast_frames': 17, 'status': False}, {'contrast_event_id': 14726, 'consecutive_contrast_frames': 5, 'status': True}]",64921,64921,"[{'static_image_event_id': 64921, 'consecutive_static_image_frames': 2, 'status': False}]",udp://224.0.1.3:5678,534,Luna de miel en el Tirol,La 1 HD,RTVE,16.0,[]
