timestamp,confidence_intervals,journey_datetime,id,content_type,mode,program_id,inserted_at,lost_frames,session_id,codec,scan_type,duration,bitrate,frame_rate,width,height,pts,n_frames_metric,pix_format,temp_inf_max,temp_inf_min,temp_inf_std,temp_inf_median,temp_inf_avg,spat_inf_max,spat_inf_min,spat_inf_std,spat_inf_median,spat_inf_avg,blurring_max,blurring_min,blurring_std,blurring_median,blurring_avg,brightness_Y_max,brightness_Y_min,brightness_Y_std,brightness_Y_median,brightness_Y_avg,brightness_Cr_max,brightness_Cr_min,brightness_Cr_std,brightness_Cr_median,brightness_Cr_avg,brightness_Cb_max,brightness_Cb_min,brightness_Cb_std,brightness_Cb_median,brightness_Cb_avg,brightness_sat_max,brightness_sat_min,brightness_sat_std,brightness_sat_median,brightness_sat_avg,contrast_Y_max,contrast_Y_min,contrast_Y_std,contrast_Y_median,contrast_Y_avg,contrast_Cr_max,contrast_Cr_min,contrast_Cr_std,contrast_Cr_median,contrast_Cr_avg,contrast_Cb_max,contrast_Cb_min,contrast_Cb_std,contrast_Cb_median,contrast_Cb_avg,contrast_sat_max,contrast_sat_min,contrast_sat_std,contrast_sat_median,contrast_sat_avg,blockloss_max,blockloss_min,blockloss_std,blockloss_median,blockloss_avg,blocking_max,blocking_min,blocking_std,blocking_median,blocking_avg,blocking_frames,ringing_max,ringing_min,ringing_std,ringing_median,ringing_avg,beginning_black_scene_event_id,final_black_scene_event_id,black_scene_events,beginning_under_exposure_event_id,final_under_exposure_event_id,under_exposure_events,beginning_dark_event_id,final_dark_event_id,dark_events,beginning_bright_event_id,final_bright_event_id,bright_events,beginning_black_image_event_id,final_black_image_event_id,black_image_events,strategy,percentage,mos,loss_prob,analysed,audio_codec,audio_sample_rate,audio_channels,audio_bitrate,beginning_saturation_event_id,final_saturation_event_id,saturation_events,beginning_over_exposure_event_id,final_over_exposure_event_id,over_exposure_events,beginning_contrast_event_id,final_contrast_event_id,contrast_events,beginning_static_image_event_id,final_static_image_event_id,static_image_events,url,program_number,program_name,service_name,service_provider,nb_streams,alerts
2022-05-15 17:29:58 CEST,"[2.76, 4.9]",2022-05-15 00:00:00+02:00,62811c79f254ffbbd38c7ced,live,super_exhaustive,62810e6c3ab2216aded47171,1652628601153,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3602.029296875,25,1920,1080.0,4762224735,75,yuv420p,72.2767105102539,3.1406636238098145,7.879526615142822,5.501848220825195,6.788642883300781,42.344329833984375,35.3338623046875,2.424553632736206,37.6916389465332,38.76192855834961,67.89047241210938,49.87466812133789,4.40370512008667,58.324649810791016,58.93668746948242,91.05621337890625,66.3841781616211,11.032187461853027,68.06915283203125,75.95704650878906,140.02296447753906,137.40232849121094,1.0328129529953003,137.99774169921875,138.56321716308594,116.85763549804688,116.50218200683594,0.09425193816423416,116.71149444580078,116.71304321289062,135.96502685546875,100.3828125,15.752043724060059,131.89942932128906,120.8028793334961,53.682411193847656,46.878326416015625,2.8996777534484863,47.495479583740234,49.39855194091797,11.531617164611816,7.893075466156006,1.7172871828079224,8.079079627990723,9.346551895141602,8.095878601074219,7.401195049285889,0.23652581870555878,7.726206302642822,7.792006015777588,58.86519241333008,46.084815979003906,4.83795166015625,56.35553741455078,53.404075622558594,0.0,0.0,0.0,0.0,0.0,0.23148147761821747,0.040123455226421356,0.042148444801568985,0.08024691045284271,0.09131687134504318,0,3.0426692962646484,1.9557160139083862,0.31708618998527527,2.510586738586426,2.476170539855957,,,,35619,35620,"[{'under_exposure_event_id': 35619, 'consecutive_under_exposure_frames': 26, 'status': False}, {'under_exposure_event_id': 35620, 'consecutive_under_exposure_frames': 1, 'status': False}]",,,,,,,,,,stacking,95%,3.83,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:01 CEST,"[2.64, 4.78]",2022-05-15 00:00:00+02:00,62811c7cf254ffbbd38c7cef,live,super_exhaustive,62810e6c3ab2216aded47171,1652628604298,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,3962.44287109375,25,1920,1080.0,4762494735,75,yuv420p,70.20348358154297,3.3500266075134277,7.8487138748168945,6.808546543121338,8.933396339416504,54.47914505004883,32.394622802734375,5.734119415283203,36.88380813598633,37.82929229736328,107.1531982421875,41.43436050415039,14.87615966796875,56.07111358642578,58.99676513671875,74.62879180908203,61.01924133300781,3.0570642948150635,68.61663055419922,68.44464111328125,138.8408203125,133.55995178222656,1.5427939891815186,138.24549865722656,137.77552795410156,118.63400268554688,115.74384307861328,0.6790871024131775,116.8174819946289,116.84191131591797,134.96871948242188,127.04747009277344,1.6060903072357178,130.67620849609375,130.56936645507812,59.51442337036133,45.82078552246094,4.070450782775879,47.3451042175293,48.50579071044922,8.438865661621094,7.560854911804199,0.2192033976316452,8.132794380187988,8.121295928955078,11.117444038391113,7.162283420562744,1.2065370082855225,7.346060276031494,7.751970291137695,77.93738555908203,52.816162109375,7.141970157623291,55.35946273803711,57.50666046142578,0.0,0.0,0.0,0.0,0.0,0.327160507440567,0.03703703731298447,0.05276978760957718,0.07716049253940582,0.09687242656946182,1,5.885070323944092,2.0393474102020264,0.9990317821502686,2.324984550476074,2.780451536178589,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 9, 'status': True}]",,,,,,,,,,stacking,95%,3.71,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:04 CEST,"[2.1, 4.24]",2022-05-15 00:00:00+02:00,62811c7fe36d3c6463b50a19,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628607217,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4176.4189453125,25,1920,1080.0,4762764735,75,yuv420p,16.32836151123047,8.055335998535156,2.1057939529418945,12.213518142700195,11.857095718383789,55.571136474609375,52.6942253112793,0.697286069393158,54.063053131103516,54.11307907104492,97.48587036132812,80.85768127441406,4.687509536743164,88.12451171875,89.21376037597656,65.52279663085938,60.877418518066406,1.7107264995574951,64.84114837646484,63.86591720581055,134.2303009033203,133.65467834472656,0.1346074640750885,133.9244384765625,133.92271423339844,118.80351257324219,118.23157501220703,0.13655105233192444,118.58394622802734,118.56332397460938,132.34585571289062,127.14757537841797,1.3608472347259521,128.99020385742188,129.20037841796875,64.33216094970703,59.44676971435547,1.7436118125915527,63.04439926147461,62.34699249267578,7.804562568664551,7.400208950042725,0.11554290354251862,7.587953090667725,7.576076507568359,10.986122131347656,10.328313827514648,0.16648928821086884,10.60483455657959,10.605751991271973,78.22793579101562,74.3097915649414,0.8752094507217407,76.1458969116211,76.15904998779297,0.0,0.0,0.0,0.0,0.0,0.4382716119289398,0.05246913433074951,0.061331816017627716,0.14506173133850098,0.1482716053724289,3,3.8785135746002197,1.8692747354507446,0.5177968740463257,2.711897134780884,2.7344090938568115,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 84, 'status': True}]",,,,,,,,,,stacking,95%,3.17,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:07 CEST,"[2.33, 4.47]",2022-05-15 00:00:00+02:00,62811c83f254ffbbd38c7cf0,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628610490,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4372.33837890625,25,1920,1080.0,4763034735,75,yuv420p,13.59490966796875,5.576510429382324,1.7376987934112549,9.17458724975586,9.553312301635742,56.26272201538086,52.3739013671875,0.9033111333847046,54.53084945678711,54.48699188232422,98.13575744628906,85.67157745361328,3.3881709575653076,91.06843566894531,91.53649139404297,65.92910766601562,61.4317626953125,1.585371971130371,62.59246063232422,63.25216293334961,134.10862731933594,133.43521118164062,0.11926214396953583,133.80691528320312,133.80136108398438,118.5413818359375,117.90143585205078,0.15465988218784332,118.31395721435547,118.28755187988281,134.7432403564453,128.5101318359375,1.4062514305114746,130.7323760986328,130.8609619140625,64.98798370361328,59.785797119140625,1.89104163646698,61.31747817993164,62.08248519897461,7.813509941101074,7.428696155548096,0.11196054518222809,7.662098407745361,7.640523910522461,11.47385311126709,10.917254447937012,0.13405995070934296,11.26185417175293,11.230512619018555,78.81370544433594,74.01803588867188,1.0203697681427002,75.55355072021484,75.67518615722656,0.0,0.0,0.0,0.0,0.0,0.2530864179134369,0.07098765671253204,0.03994845226407051,0.14506173133850098,0.14884772896766663,1,3.5964789390563965,1.9517645835876465,0.40798625349998474,2.6866390705108643,2.7155020236968994,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 159, 'status': True}]",,,,,,,,,,stacking,95%,3.4,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:10 CEST,"[1.82, 3.96]",2022-05-15 00:00:00+02:00,62811c85e36d3c6463b50a1a,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628613343,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4771.4697265625,25,1920,1080.0,4763304735,75,yuv420p,22.941253662109375,9.742496490478516,3.26139497756958,17.951078414916992,17.5361270904541,57.87078094482422,49.98157501220703,1.6986029148101807,54.2945556640625,53.98057556152344,123.30802154541016,78.83700561523438,10.619227409362793,97.41752624511719,98.92831420898438,75.06698608398438,62.60578536987305,3.543994665145874,67.2426986694336,67.45043182373047,134.20498657226562,133.1549835205078,0.2262198030948639,133.59657287597656,133.61993408203125,118.45975494384766,117.07378387451172,0.4323689043521881,117.58704376220703,117.69795227050781,134.02362060546875,125.72795104980469,1.9886475801467896,129.66844177246094,129.56790161132812,64.0549545288086,60.85167694091797,0.7693591117858887,62.12431335449219,62.11471176147461,7.871737003326416,7.262895107269287,0.14321836829185486,7.571798801422119,7.597754001617432,12.249549865722656,11.2324800491333,0.3082691729068756,11.63339900970459,11.695635795593262,77.76215362548828,71.57968139648438,1.468381404876709,74.20380401611328,74.14655303955078,0.0,0.0,0.0,0.0,0.0,0.31481480598449707,0.040123455226421356,0.06329098343849182,0.1419753134250641,0.14621399343013763,4,3.0818424224853516,1.1765624284744263,0.5872118473052979,1.878960371017456,2.049553871154785,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 234, 'status': True}]",,,,,,,,,,stacking,95%,2.89,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:13 CEST,"[2.15, 4.29]",2022-05-15 00:00:00+02:00,62811c883ab2216aded47305,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628616334,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4689.88232421875,25,1920,1080.0,4763574735,75,yuv420p,21.16205596923828,8.650278091430664,3.126555919647217,13.538098335266113,14.151679992675781,61.531063079833984,53.43025588989258,2.100989580154419,59.66032409667969,58.79695129394531,120.00528717041016,94.17301177978516,5.3815202713012695,110.166259765625,110.3449478149414,75.18511199951172,72.07258605957031,0.9469273686408997,74.27883911132812,74.06829071044922,134.27540588378906,133.79315185546875,0.10680438578128815,134.05783081054688,134.0628204345703,117.82069396972656,116.94450378417969,0.22597821056842804,117.4179916381836,117.40164184570312,129.66522216796875,121.79467010498047,1.8179563283920288,125.08959197998047,125.18251037597656,64.76029968261719,62.11117172241211,0.6621132493019104,64.12077331542969,63.930118560791016,7.7851033210754395,7.385251522064209,0.10359875857830048,7.491950035095215,7.510980606079102,11.83836555480957,11.105228424072266,0.21335278451442719,11.619145393371582,11.534228324890137,77.01688385009766,72.0145492553711,1.1104804277420044,73.8613052368164,73.96340942382812,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.03703703731298447,0.027846159413456917,0.07716049253940582,0.07934156060218811,0,3.1456801891326904,0.9319921135902405,0.569871187210083,2.3671412467956543,2.197401523590088,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 309, 'status': True}]",,,,,,,,,,stacking,95%,3.22,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:16 CEST,"[1.98, 4.12]",2022-05-15 00:00:00+02:00,62811c8b151e6534760c597f,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628619266,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4841.3095703125,25,1920,1080.0,4763844735,75,yuv420p,60.76628875732422,3.525634527206421,7.569314479827881,15.77399730682373,13.907224655151367,66.50775146484375,52.69548797607422,3.7645628452301025,58.47768020629883,59.0404167175293,232.8568115234375,88.31322479248047,42.824832916259766,110.98392486572266,133.84954833984375,82.15925598144531,68.48908996582031,4.982482433319092,72.08623504638672,74.48253631591797,135.45428466796875,132.7064971923828,0.7733988165855408,134.09449768066406,134.30279541015625,117.9034652709961,115.00086212158203,1.1438686847686768,117.4327392578125,116.74519348144531,134.36106872558594,118.43965911865234,4.315159797668457,126.3304443359375,125.2718505859375,64.18563842773438,60.01692581176758,1.3474689722061157,63.624122619628906,62.92729187011719,7.823431968688965,6.453560829162598,0.556887149810791,7.640801429748535,7.329686641693115,12.954606056213379,11.154641151428223,0.5535876750946045,11.65439224243164,11.851932525634766,77.52510833740234,57.45130920410156,7.463033199310303,73.46881866455078,69.41581726074219,0.012437811121344566,0.0,0.001436194870620966,0.0,0.00016583748220000416,0.3086419701576233,0.009259259328246117,0.05713645741343498,0.09876543283462524,0.09473250806331635,1,3.1466126441955566,1.3730558156967163,0.4916795492172241,2.2501003742218018,2.2932260036468506,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 384, 'status': True}]",,,,,,,,,,stacking,95%,3.05,0.111,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:19 CEST,"[2.58, 4.72]",2022-05-15 00:00:00+02:00,62811c8ee36d3c6463b50a1b,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628622462,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,4729.37353515625,25,1920,1080.0,4764114735,75,yuv420p,10.181144714355469,2.2632100582122803,2.274472951889038,6.752728462219238,7.018458843231201,67.61075592041016,61.743316650390625,1.4459733963012695,64.0074234008789,64.32923889160156,248.39768981933594,172.84707641601562,17.32581329345703,192.86199951171875,196.8177947998047,82.01078796386719,79.32662963867188,0.6671682596206665,80.56011199951172,80.62838745117188,135.47926330566406,134.72879028320312,0.19727931916713715,135.0171661376953,135.09335327148438,116.05440521240234,115.010498046875,0.23869143426418304,115.54755401611328,115.5499496459961,122.48771667480469,116.60687255859375,1.1918243169784546,118.46031951904297,118.77782440185547,64.26934051513672,63.84609603881836,0.09210087358951569,64.0587387084961,64.07447814941406,6.525460243225098,6.337478160858154,0.05610193684697151,6.411411762237549,6.425793170928955,12.517155647277832,12.164714813232422,0.07824663817882538,12.261697769165039,12.285601615905762,61.30910110473633,55.33592224121094,1.1161211729049683,58.29200744628906,58.31766128540039,0.0,0.0,0.0,0.0,0.0,0.06790123134851456,0.0,0.013768649660050869,0.018518518656492233,0.01872427947819233,0,2.556602954864502,1.7658025026321411,0.18937811255455017,2.1010172367095947,2.126136302947998,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 459, 'status': True}]",,,,,,,,,,stacking,95%,3.65,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:22 CEST,"[1.44, 3.58]",2022-05-15 00:00:00+02:00,62811c91151e6534760c5980,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628625445,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5184.65576171875,25,1920,1080.0,4764384735,75,yuv420p,34.70404052734375,10.148903846740723,6.886936664581299,22.16167640686035,22.589187622070312,97.857177734375,61.23479080200195,10.208097457885742,74.77291870117188,77.47396850585938,3385.404296875,185.7198028564453,924.217041015625,1246.9637451171875,1460.0257568359375,83.10771179199219,79.44023132324219,0.9408475756645203,80.80825805664062,80.94738006591797,135.56369018554688,135.09078979492188,0.11235252022743225,135.3248291015625,135.32701110839844,115.1224136352539,112.18783569335938,0.9001985788345337,114.07166290283203,113.9111099243164,127.50767517089844,118.16082000732422,2.293376922607422,121.9703140258789,122.00115966796875,64.36162567138672,62.29566955566406,0.5606504678726196,63.0668830871582,63.18832778930664,6.509376525878906,5.599409580230713,0.27913564443588257,6.111213684082031,6.070555210113525,13.92961311340332,12.327982902526855,0.47459617257118225,12.864134788513184,13.01037311553955,59.47803497314453,52.04283142089844,1.612185001373291,54.95676803588867,55.140281677246094,0.0,0.0,0.0,0.0,0.0,0.05864197388291359,0.0,0.011675738729536533,0.012345679104328156,0.015473251231014729,0,20.617443084716797,2.0446548461914062,5.297151565551758,12.460612297058105,11.378897666931152,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 534, 'status': True}]",,,,,,,,,,stacking,95%,2.51,0.071,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,[]
2022-05-15 17:30:25 CEST,"[2.58, 4.72]",2022-05-15 00:00:00+02:00,62811c94151e6534760c5981,live,super_exhaustive,62811c7cf254ffbbd38c7cee,1652628628280,0,627bcef12acb7dec1a9ac78c,h264,interlaced,3.0,5383.50634765625,25,1920,1080.0,4764654735,75,yuv420p,94.02080535888672,7.507284641265869,16.76443862915039,38.54789733886719,30.38226890563965,111.82129669189453,46.64466094970703,27.05683135986328,104.64683532714844,88.2096939086914,5226.521484375,158.45591735839844,2122.040771484375,4226.63916015625,3120.057861328125,104.37783813476562,70.87069702148438,12.94106674194336,79.47925567626953,85.54866790771484,135.56146240234375,122.06065368652344,6.160904407501221,135.04368591308594,130.8957061767578,137.30467224121094,112.42229461669922,11.080718994140625,114.16622161865234,121.42056274414062,129.79600524902344,80.8250961303711,20.243881225585938,124.76409149169922,111.86103820800781,67.27811431884766,58.32255935668945,2.76493763923645,61.99878692626953,62.5921745300293,10.229927062988281,4.622161388397217,2.4344542026519775,5.279139041900635,6.726345062255859,13.961071014404297,10.593904495239258,1.1676011085510254,12.479035377502441,12.440061569213867,57.58885192871094,41.44696807861328,4.764177322387695,52.88179016113281,50.602840423583984,0.012437811121344566,0.0,0.0020173166412860155,0.0,0.0003316749644000083,0.18827161192893982,0.0,0.05816587805747986,0.006172839552164078,0.043209876865148544,0,23.76405143737793,4.683176040649414,7.838538646697998,21.46371078491211,16.7567195892334,,,,35621,35621,"[{'under_exposure_event_id': 35621, 'consecutive_under_exposure_frames': 584, 'status': False}]",,,,,,,,,,stacking,95%,3.65,0.114,True,eac3,48000.0,2.0,0.25600001215934753,,,,,,,,,,,,,udp://224.0.1.3:5678,534,Persiguiendo un sueño,La 1 HD,RTVE,16.0,['alert_UnderExposure']
